# Serializing assets/vocabularies/addresstypes/latest/addresstypes.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/address-type
# title: Address type
# version: 20180620-0
# description: Address type
key,url,deprecated,valid_from,country_code,label_en,label_it
ADR_OFFICE,http://publications.europa.eu/resource/authority/address-type/ADR_OFFICE,false,2009-12-01,ADR_OFFICE,Office address,
ADR_POSTAL,http://publications.europa.eu/resource/authority/address-type/ADR_POSTAL,false,2009-12-01,ADR_POSTAL,Postal address,
EMAIL,http://publications.europa.eu/resource/authority/address-type/EMAIL,false,2009-12-01,EMAIL,E-mail,
FAX,http://publications.europa.eu/resource/authority/address-type/FAX,false,2009-12-01,FAX,Fax,Fax
MAIN,http://publications.europa.eu/resource/authority/address-type/MAIN,false,2018-05-30,MAIN,Main address,
OFFICE_NO,http://publications.europa.eu/resource/authority/address-type/OFFICE_NO,false,2009-12-01,OFFICE_NO,Office,
OP_DATPRO,http://publications.europa.eu/resource/authority/address-type/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
TEL,http://publications.europa.eu/resource/authority/address-type/TEL,false,2009-12-01,TEL,Telephone,Telefono
TEL_EXT,http://publications.europa.eu/resource/authority/address-type/TEL_EXT,false,2009-12-01,TEL_EXT,Extension,
TEL_SWI,http://publications.europa.eu/resource/authority/address-type/TEL_SWI,false,2009-12-01,TEL_SWI,Switchboard,Standard
