# Serializing assets/vocabularies/asset-classification/latest/asset-classification.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/asset-classification
# title: Asset classification
# version: 20210616-0
# description: Asset classification
key,url,deprecated,valid_from,country_code,label_en,label_it
OP_DATPRO,http://publications.europa.eu/resource/authority/asset-classification/OP_DATPRO,false,1952-07-23,OP_DATPRO,Provisional data,Dati provvisori
c_1fb7be39,http://publications.europa.eu/resource/authority/asset-classification/c_1fb7be39,false,2019-12-11,c_1fb7be39,Relational model,
c_230aaab7,http://publications.europa.eu/resource/authority/asset-classification/c_230aaab7,false,2019-12-11,c_230aaab7,Presentation style sheet,
c_25e514f4,http://publications.europa.eu/resource/authority/asset-classification/c_25e514f4,false,2019-12-11,c_25e514f4,Lexicon,
c_2db4690d,http://publications.europa.eu/resource/authority/asset-classification/c_2db4690d,false,2019-12-11,c_2db4690d,Mind map,
c_32ffe82d,http://publications.europa.eu/resource/authority/asset-classification/c_32ffe82d,false,2019-12-11,c_32ffe82d,Business Process Model and Notation,
c_35dcf03c,http://publications.europa.eu/resource/authority/asset-classification/c_35dcf03c,false,2019-12-11,c_35dcf03c,Argument map,
c_3626c85a,http://publications.europa.eu/resource/authority/asset-classification/c_3626c85a,false,2019-12-11,c_3626c85a,Subject headings,
c_366e3b24,http://publications.europa.eu/resource/authority/asset-classification/c_366e3b24,false,2021-02-04,c_366e3b24,Base registry,
c_3948c2ed,http://publications.europa.eu/resource/authority/asset-classification/c_3948c2ed,false,2019-12-11,c_3948c2ed,Markup schema,
c_5796a20b,http://publications.europa.eu/resource/authority/asset-classification/c_5796a20b,false,2019-12-11,c_5796a20b,Dictionary,
c_5b130cc6,http://publications.europa.eu/resource/authority/asset-classification/c_5b130cc6,false,2020-11-03,c_5b130cc6,Authority file,
c_638e1719,http://publications.europa.eu/resource/authority/asset-classification/c_638e1719,false,2021-02-24,c_638e1719,Authoritative source ,
c_64714767,http://publications.europa.eu/resource/authority/asset-classification/c_64714767,false,2019-12-11,c_64714767,Terminology,
c_722cef3f,http://publications.europa.eu/resource/authority/asset-classification/c_722cef3f,false,2019-12-11,c_722cef3f,Data model,
c_89b4bdb7,http://publications.europa.eu/resource/authority/asset-classification/c_89b4bdb7,false,2019-12-11,c_89b4bdb7,Formal ontology,
c_8da81c02,http://publications.europa.eu/resource/authority/asset-classification/c_8da81c02,false,2019-12-11,c_8da81c02,Classification,
c_a2df28a1,http://publications.europa.eu/resource/authority/asset-classification/c_a2df28a1,false,2019-12-11,c_a2df28a1,Taxonomy,
c_a6822084,http://publications.europa.eu/resource/authority/asset-classification/c_a6822084,false,2019-12-11,c_a6822084,System network,
c_a7773248,http://publications.europa.eu/resource/authority/asset-classification/c_a7773248,false,2019-12-11,c_a7773248,Thesaurus,
c_b0bfba6e,http://publications.europa.eu/resource/authority/asset-classification/c_b0bfba6e,false,2019-12-11,c_b0bfba6e,Categorisation,
c_b37963b3,http://publications.europa.eu/resource/authority/asset-classification/c_b37963b3,false,2019-12-11,c_b37963b3,Application profile,
c_b81ceeea,http://publications.europa.eu/resource/authority/asset-classification/c_b81ceeea,false,2019-12-11,c_b81ceeea,Entity-relationship model,
c_bba2bb35,http://publications.europa.eu/resource/authority/asset-classification/c_bba2bb35,false,2019-12-11,c_bba2bb35,Alignment,
c_c0b5956c,http://publications.europa.eu/resource/authority/asset-classification/c_c0b5956c,false,2019-12-11,c_c0b5956c,Frame-based model,
c_c2f98e5f,http://publications.europa.eu/resource/authority/asset-classification/c_c2f98e5f,false,2019-12-11,c_c2f98e5f,Conceptual model,
c_c2ffe197,http://publications.europa.eu/resource/authority/asset-classification/c_c2ffe197,false,2019-12-11,c_c2ffe197,Semantic network,
c_cdd11291,http://publications.europa.eu/resource/authority/asset-classification/c_cdd11291,false,2019-12-11,c_cdd11291,Code list,
c_d3bf7907,http://publications.europa.eu/resource/authority/asset-classification/c_d3bf7907,false,2019-12-11,c_d3bf7907,Synonym ring,
c_d5c26195,http://publications.europa.eu/resource/authority/asset-classification/c_d5c26195,false,2019-12-11,c_d5c26195,Topic map,
c_d9dd5715,http://publications.europa.eu/resource/authority/asset-classification/c_d9dd5715,false,2019-12-11,c_d9dd5715,Syntax encoding scheme,
c_e4cf092c,http://publications.europa.eu/resource/authority/asset-classification/c_e4cf092c,false,2019-12-11,c_e4cf092c,Semantic model,
c_ebfb658e,http://publications.europa.eu/resource/authority/asset-classification/c_ebfb658e,false,2019-12-11,c_ebfb658e,Glossary,
c_ecacbeba,http://publications.europa.eu/resource/authority/asset-classification/c_ecacbeba,false,2019-12-11,c_ecacbeba,Folksonomy,
c_eed252ff,http://publications.europa.eu/resource/authority/asset-classification/c_eed252ff,false,2019-12-11,c_eed252ff,Object-oriented model,
