# Serializing assets/vocabularies/classifications-for-people/education-level/education-level.ttl
# @context: {"@vocab": "https://w3id.org/italia/onto/CPV/", "dct": "http://purl.org/dc/terms/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "dct:identifier"}, "url": "@id", "description_en": {"@id": "educationLevelDesc", "@language": "en"}, "description_it": {"@id": "educationLevelDesc", "@language": "it"}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level
# description: This is the Education Level controlled vocabulary
# version: 2018-06-05
# title: Education Level Controlled Vocabulary
key,url,label_it,label_en,description_it,description_en
ACO,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/ACO,"Diploma di Accademia di Belle Arti, Danza, Arte Drammatica, ISIA, ecc. Conservatorio (vecchio ordinamento)",Academy Conservatory old programme,"Diploma di Accademia di Belle Arti, Danza, Arte Drammatica, ISIA, ecc. Conservatorio (vecchio ordinamento)",Academy Conservatory old programme
CDU,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/CDU,"Diploma universitario di due/tre anni, Scuola diretta a fini speciali, altro diploma terziario non universitario",University diploma,"Diploma universitario di due/tre anni, Scuola diretta a fini speciali, altro diploma terziario non universitario",University diploma
FLA,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/FLA,"Diploma accademico di Alta Formazione Artistica, Musicale e Coreutica di I livello","Fine Arts, Drama, Dance and Music First level academic diploma (Bachelor's degree)","Diploma accademico di Alta Formazione Artistica, Musicale e Coreutica di I livello","Fine Arts, Drama, Dance and Music First level academic diploma (Bachelor's degree)"
IFP,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/IFP,Attestato IFP di qualifica professionale triennale (operatore)/Diploma professionale IFP di tecnico (quarto anno) (dal 2005),Vocational training qualification (three-year courses)/ Professional diploma (fourth year),Attestato IFP di qualifica professionale triennale (operatore)/Diploma professionale IFP di tecnico (quarto anno) (dal 2005),Vocational training qualification (three-year courses)/ Professional diploma (fourth year)
IFTS,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/IFTS,Certificato di specializzazione tecnica superiore IFTS (dal 2000),Certification of higher technical specialisation,Certificato di specializzazione tecnica superiore IFTS (dal 2000),Certification of higher technical specialisation
ITS,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/ITS,Diploma di tecnico superiore ITS (corsi biennali) (dal 2013),Diploma of Higher Technical,Diploma di tecnico superiore ITS (corsi biennali) (dal 2013),Diploma of Higher Technical
L,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/L,Laurea di primo livello ,Bachelor’s degree,Laurea di primo livello,Bachelor’s degree
LD,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/LD,Laurea specialistica/magistrale a ciclo unico o diploma di laurea di 4-6 anni,Master’s degree,Laurea specialistica/magistrale a ciclo unico o diploma di laurea di 4-6 anni,Master’s degree
LS,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/LS,Laurea specialistica/magistrale biennale,Master’s degree,Laurea specialistica/magistrale biennale,Master’s degree
LSE,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/LSE,Licenza media o avviamento professionale (conseguito non oltre l'anno 1965) /Diploma di Istruzione secondaria di I grado,Diploma of lower secondary education,Licenza media o avviamento professionale (conseguito non oltre l'anno 1965) /Diploma di Istruzione secondaria di I grado,Diploma of lower secondary education
NED,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/NED,Nessun titolo di studio,No educational degree,Nessun titolo di studio,No educational degree
PSE,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/PSE,Licenza elementare/ Attestato di valutazione finale,Final assessment (Primary school),Licenza elementare/ Attestato di valutazione finale,Final assessment (Primary school)
RDD,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/RDD,Dottorato di ricerca/Diploma accademico di formazione alla ricerca ,Research Doctorate (PhD)/ Advanced research academic diploma,Dottorato di ricerca/Diploma accademico di formazione alla ricerca ,Research Doctorate (PhD)/ Advanced research academic diploma
SLA,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/SLA,"Diploma accademico di Alta Formazione Artistica, Musicale e Coreutica di II livello","Fine Arts, Drama, Dance and Music Second level academic diploma (Master's degree)","Diploma accademico di Alta Formazione Artistica, Musicale e Coreutica di II livello","Fine Arts, Drama, Dance and Music Second level academic diploma (Master's degree)"
USG,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/USG,Diploma di maturità / diploma di istruzione secondaria di II grado di 4-5 anni (che permette l’iscrizione all’università),Diploma of upper secondary education (4-5 years),Diploma di maturità / diploma di istruzione secondaria di II grado di 4-5 anni (che permette l’iscrizione all’università),Diploma of upper secondary education (4-5 years)
USV,https://w3id.org/italia/controlled-vocabulary/classifications-for-people/education-level/USV,Diploma di qualifica professionale di scuola secondaria di II grado di 2-3 anni (che non permette l’iscrizione all’Università),Diploma of upper secondary education (2-3 years),Diploma di qualifica professionale di scuola secondaria di II grado di 2-3 anni (che non permette l’iscrizione all’Università),Diploma of upper secondary education (2-3 years)
