# Serializing assets/vocabularies/countries/latest/countries.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/country
# title: Country
# version: 20210929-0
# description: Country
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
1A0,http://publications.europa.eu/resource/authority/country/1A0,false,2008-02-17,1A0,Kosovo,Kosovo,
ABW,http://publications.europa.eu/resource/authority/country/ABW,false,1986-01-01,ABW,Aruba,Aruba,
AFG,http://publications.europa.eu/resource/authority/country/AFG,false,1950-05-09,AFG,Afghanistan,Afghanistan,
AFI,http://publications.europa.eu/resource/authority/country/AFI,true,1967-04-01,AFI,French Afar and Issas,,1977-06-26
AGO,http://publications.europa.eu/resource/authority/country/AGO,false,1975-11-11,AGO,Angola,Angola,
AIA,http://publications.europa.eu/resource/authority/country/AIA,false,1980-09-19,AIA,Anguilla,Anguilla,
ALA,http://publications.europa.eu/resource/authority/country/ALA,false,1950-05-09,ALA,Åland Islands,Isole Åland,
ALB,http://publications.europa.eu/resource/authority/country/ALB,false,1912-11-18,ALB,Albania,Albania,
AND,http://publications.europa.eu/resource/authority/country/AND,false,1950-05-09,AND,Andorra,Andorra,
ANT,http://publications.europa.eu/resource/authority/country/ANT,true,1954-12-29,ANT,Netherlands Antilles,Antille olandesi,2010-10-09
ARE,http://publications.europa.eu/resource/authority/country/ARE,false,1950-05-09,ARE,United Arab Emirates,Emirati arabi uniti,
ARG,http://publications.europa.eu/resource/authority/country/ARG,false,1950-05-09,ARG,Argentina,Argentina,
ARM,http://publications.europa.eu/resource/authority/country/ARM,false,1991-09-21,ARM,Armenia,Armenia,
ASM,http://publications.europa.eu/resource/authority/country/ASM,false,1950-05-09,ASM,American Samoa,Samoa americane,
ATA,http://publications.europa.eu/resource/authority/country/ATA,false,1950-05-09,ATA,Antarctica,Antartide,
ATB,http://publications.europa.eu/resource/authority/country/ATB,true,1950-05-09,ATB,British Antarctic Territory,,1981-05-15
ATF,http://publications.europa.eu/resource/authority/country/ATF,true,1955-08-04,ATF,French Southern Lands,Terre australi francesi,1955-08-04
ATG,http://publications.europa.eu/resource/authority/country/ATG,false,1981-11-01,ATG,Antigua and Barbuda,Antigua e Barbuda,
ATN,http://publications.europa.eu/resource/authority/country/ATN,true,1950-05-09,ATN,Dronning Maud Land,,1983-01-15
AUS,http://publications.europa.eu/resource/authority/country/AUS,false,1950-05-09,AUS,Australia,Australia,
AUT,http://publications.europa.eu/resource/authority/country/AUT,false,1950-05-09,AUT,Austria,Austria,
AZE,http://publications.europa.eu/resource/authority/country/AZE,false,1991-10-18,AZE,Azerbaijan,Azerbaigian,
BDI,http://publications.europa.eu/resource/authority/country/BDI,false,1962-07-01,BDI,Burundi,Burundi,
BEL,http://publications.europa.eu/resource/authority/country/BEL,false,1950-05-09,BEL,Belgium,Belgio,
BEN,http://publications.europa.eu/resource/authority/country/BEN,false,1975-11-30,BEN,Benin,Benin,
BES,http://publications.europa.eu/resource/authority/country/BES,false,2010-10-10,BES,"Bonaire, Sint Eustatius and Saba","Bonaire, Sant'Eustachio e Saba",
BFA,http://publications.europa.eu/resource/authority/country/BFA,false,1984-08-04,BFA,Burkina Faso,Burkina Faso,
BGD,http://publications.europa.eu/resource/authority/country/BGD,false,1971-03-26,BGD,Bangladesh,Bangladesh,
BGR,http://publications.europa.eu/resource/authority/country/BGR,false,1990-01-01,BGR,Bulgaria,Bulgaria,
BHR,http://publications.europa.eu/resource/authority/country/BHR,false,1976-12-16,BHR,Bahrain,Bahrein,
BHS,http://publications.europa.eu/resource/authority/country/BHS,false,1973-07-10,BHS,Bahamas,Bahamas,
BIH,http://publications.europa.eu/resource/authority/country/BIH,false,1992-03-01,BIH,Bosnia and Herzegovina,Bosnia-Erzegovina,
BLM,http://publications.europa.eu/resource/authority/country/BLM,false,2007-07-15,BLM,Saint Barthélemy,Saint-Barthélemy,
BLR,http://publications.europa.eu/resource/authority/country/BLR,false,1991-08-25,BLR,Belarus,Bielorussia,
BLZ,http://publications.europa.eu/resource/authority/country/BLZ,false,1981-09-21,BLZ,Belize,Belize,
BMU,http://publications.europa.eu/resource/authority/country/BMU,false,1950-05-09,BMU,Bermuda,Bermuda,
BOL,http://publications.europa.eu/resource/authority/country/BOL,false,1950-05-09,BOL,Bolivia,Bolivia,
BRA,http://publications.europa.eu/resource/authority/country/BRA,false,1950-05-09,BRA,Brazil,Brasile,
BRB,http://publications.europa.eu/resource/authority/country/BRB,false,1966-11-30,BRB,Barbados,Barbados,
BRN,http://publications.europa.eu/resource/authority/country/BRN,false,1984-01-01,BRN,Brunei,Brunei,
BTN,http://publications.europa.eu/resource/authority/country/BTN,false,1950-05-09,BTN,Bhutan,Bhutan,
BUR,http://publications.europa.eu/resource/authority/country/BUR,true,1948-01-04,BUR,Burma,,1989-06-17
BVT,http://publications.europa.eu/resource/authority/country/BVT,false,1950-05-09,BVT,Bouvet Island,Isola di Bouvet,
BWA,http://publications.europa.eu/resource/authority/country/BWA,false,1966-09-30,BWA,Botswana,Botswana,
BYS,http://publications.europa.eu/resource/authority/country/BYS,true,1918-03-25,BYS,Belarus,Bielorussia,1991-08-24
CAF,http://publications.europa.eu/resource/authority/country/CAF,false,1960-08-13,CAF,Central African Republic,Repubblica centrafricana,
CAN,http://publications.europa.eu/resource/authority/country/CAN,false,1931-12-11,CAN,Canada,Canada,
CCK,http://publications.europa.eu/resource/authority/country/CCK,false,1950-05-09,CCK,Cocos (Keeling) Islands,Isole Cocos,
CHE,http://publications.europa.eu/resource/authority/country/CHE,false,1950-05-09,CHE,Switzerland,Svizzera,
CHL,http://publications.europa.eu/resource/authority/country/CHL,false,1950-05-09,CHL,Chile,Cile,
CHN,http://publications.europa.eu/resource/authority/country/CHN,false,1950-05-09,CHN,China,Cina,
CIV,http://publications.europa.eu/resource/authority/country/CIV,false,1960-08-07,CIV,Côte d’Ivoire,Costa d’Avorio,
CMR,http://publications.europa.eu/resource/authority/country/CMR,false,1960-01-01,CMR,Cameroon,Camerun,
COD,http://publications.europa.eu/resource/authority/country/COD,false,1997-05-18,COD,Democratic Republic of the Congo,Repubblica democratica del Congo,
COG,http://publications.europa.eu/resource/authority/country/COG,false,1960-08-15,COG,Congo,Congo,
COK,http://publications.europa.eu/resource/authority/country/COK,false,1960-08-04,COK,Cook Islands,Isole Cook,
COL,http://publications.europa.eu/resource/authority/country/COL,false,1950-05-09,COL,Colombia,Colombia,
COM,http://publications.europa.eu/resource/authority/country/COM,false,1975-07-06,COM,Comoros,Comore,
CPT,http://publications.europa.eu/resource/authority/country/CPT,false,1950-05-09,CPT,Clipperton,Clipperton,
CPV,http://publications.europa.eu/resource/authority/country/CPV,false,1975-07-05,CPV,Cabo Verde,Cabo Verde,
CRI,http://publications.europa.eu/resource/authority/country/CRI,false,1950-05-09,CRI,Costa Rica,Costa Rica,
CSK,http://publications.europa.eu/resource/authority/country/CSK,true,1990-04-23,CSK,Czechoslovakia,Cecoslovacchia,1992-12-31
CTE,http://publications.europa.eu/resource/authority/country/CTE,true,1950-05-09,CTE,Canton and Enderbury Islands,,1979-07-11
CUB,http://publications.europa.eu/resource/authority/country/CUB,false,1959-01-01,CUB,Cuba,Cuba,
CUW,http://publications.europa.eu/resource/authority/country/CUW,false,2010-10-10,CUW,Curaçao,Curaçao,
CXR,http://publications.europa.eu/resource/authority/country/CXR,false,1950-05-09,CXR,Christmas Island,Isola Christmas,
CYM,http://publications.europa.eu/resource/authority/country/CYM,false,1962-01-01,CYM,Cayman Islands,Isole Cayman,
CYP,http://publications.europa.eu/resource/authority/country/CYP,false,1960-08-16,CYP,Cyprus,Cipro,
CZE,http://publications.europa.eu/resource/authority/country/CZE,false,2018-09-18,CZE,Czechia,Cechia,
DDR,http://publications.europa.eu/resource/authority/country/DDR,true,1949-05-23,DDR,East Germany,Germania Est,1990-10-02
DEU,http://publications.europa.eu/resource/authority/country/DEU,false,1990-10-03,DEU,Germany,Germania,
DHY,http://publications.europa.eu/resource/authority/country/DHY,true,1958-12-04,DHY,Dahomey,,1975-11-29
DJI,http://publications.europa.eu/resource/authority/country/DJI,false,1977-06-27,DJI,Djibouti,Gibuti,
DMA,http://publications.europa.eu/resource/authority/country/DMA,false,1978-11-03,DMA,Dominica,Dominica,
DNK,http://publications.europa.eu/resource/authority/country/DNK,false,1950-05-09,DNK,Denmark,Danimarca,
DOM,http://publications.europa.eu/resource/authority/country/DOM,false,1950-05-09,DOM,Dominican Republic,Repubblica dominicana,
DZA,http://publications.europa.eu/resource/authority/country/DZA,false,1962-07-05,DZA,Algeria,Algeria,
ECU,http://publications.europa.eu/resource/authority/country/ECU,false,1950-05-09,ECU,Ecuador,Ecuador,
EGY,http://publications.europa.eu/resource/authority/country/EGY,false,1950-05-09,EGY,Egypt,Egitto,
ERI,http://publications.europa.eu/resource/authority/country/ERI,false,1993-05-24,ERI,Eritrea,Eritrea,
ESH,http://publications.europa.eu/resource/authority/country/ESH,false,1950-05-09,ESH,Western Sahara,Sahara occidentale,
ESP,http://publications.europa.eu/resource/authority/country/ESP,false,1975-11-22,ESP,Spain,Spagna,
EST,http://publications.europa.eu/resource/authority/country/EST,false,1991-08-20,EST,Estonia,Estonia,
ETH,http://publications.europa.eu/resource/authority/country/ETH,false,1991-05-29,ETH,Ethiopia,Etiopia,
EUR,http://publications.europa.eu/resource/authority/country/EUR,false,1993-11-01,EUR,European Union,Unione europea,
FIN,http://publications.europa.eu/resource/authority/country/FIN,false,1950-05-09,FIN,Finland,Finlandia,
FJI,http://publications.europa.eu/resource/authority/country/FJI,false,1970-10-10,FJI,Fiji,Figi,
FLK,http://publications.europa.eu/resource/authority/country/FLK,false,1950-05-09,FLK,Falkland Islands,Isole Falkland,
FQ0,http://publications.europa.eu/resource/authority/country/FQ0,false,1955-08-05,FQ0,French Southern and Antarctic Lands,Terre australi e antartiche francesi,
FRA,http://publications.europa.eu/resource/authority/country/FRA,false,1950-05-09,FRA,France,Francia,
FRO,http://publications.europa.eu/resource/authority/country/FRO,false,1950-05-09,FRO,Faroes,Isole Fær Øer,
FSM,http://publications.europa.eu/resource/authority/country/FSM,false,1986-11-03,FSM,Micronesia,Micronesia,
FXX,http://publications.europa.eu/resource/authority/country/FXX,true,1950-05-09,FXX,Metropolitan France,,1997-12-31
GAB,http://publications.europa.eu/resource/authority/country/GAB,false,1960-08-17,GAB,Gabon,Gabon,
GBR,http://publications.europa.eu/resource/authority/country/GBR,false,1950-05-09,GBR,United Kingdom,Regno Unito,
GEL,http://publications.europa.eu/resource/authority/country/GEL,true,1950-05-09,GEL,Gilbert and Ellice Islands,,1979-07-11
GEO,http://publications.europa.eu/resource/authority/country/GEO,false,1991-04-09,GEO,Georgia,Georgia,
GGY,http://publications.europa.eu/resource/authority/country/GGY,false,1950-05-09,GGY,Guernsey,Guernsey,
GHA,http://publications.europa.eu/resource/authority/country/GHA,false,1957-03-05,GHA,Ghana,Ghana,
GIB,http://publications.europa.eu/resource/authority/country/GIB,false,1950-05-09,GIB,Gibraltar,Gibraltar,
GIN,http://publications.europa.eu/resource/authority/country/GIN,false,1958-10-02,GIN,Guinea,Guinea,
GLP,http://publications.europa.eu/resource/authority/country/GLP,false,1950-05-09,GLP,Guadeloupe,Guadalupa,
GMB,http://publications.europa.eu/resource/authority/country/GMB,false,1970-04-24,GMB,The Gambia,Gambia,
GNB,http://publications.europa.eu/resource/authority/country/GNB,false,1974-09-10,GNB,Guinea-Bissau,Guinea-Bissau,
GNQ,http://publications.europa.eu/resource/authority/country/GNQ,false,1968-10-12,GNQ,Equatorial Guinea,Guinea equatoriale,
GRC,http://publications.europa.eu/resource/authority/country/GRC,false,1974-12-09,GRC,Greece,Grecia,
GRD,http://publications.europa.eu/resource/authority/country/GRD,false,1974-02-07,GRD,Grenada,Grenada,
GRL,http://publications.europa.eu/resource/authority/country/GRL,false,1950-05-09,GRL,Greenland,Groenlandia,
GTM,http://publications.europa.eu/resource/authority/country/GTM,false,1950-05-09,GTM,Guatemala,Guatemala,
GUF,http://publications.europa.eu/resource/authority/country/GUF,false,1950-05-09,GUF,French Guiana,Guyana francese,
GUM,http://publications.europa.eu/resource/authority/country/GUM,false,1950-05-09,GUM,Guam,Guam,
GUY,http://publications.europa.eu/resource/authority/country/GUY,false,1966-05-26,GUY,Guyana,Guyana,
HKG,http://publications.europa.eu/resource/authority/country/HKG,false,1950-05-09,HKG,Hong Kong,Hong Kong,
HMD,http://publications.europa.eu/resource/authority/country/HMD,false,1950-05-09,HMD,Heard Island and McDonald Islands,Isole Heard e McDonald,
HND,http://publications.europa.eu/resource/authority/country/HND,false,1950-05-09,HND,Honduras,Honduras,
HRV,http://publications.europa.eu/resource/authority/country/HRV,false,1991-10-08,HRV,Croatia,Croazia,
HTI,http://publications.europa.eu/resource/authority/country/HTI,false,1950-05-09,HTI,Haiti,Haiti,
HUN,http://publications.europa.eu/resource/authority/country/HUN,false,2012-01-01,HUN,Hungary,Ungheria,
HVO,http://publications.europa.eu/resource/authority/country/HVO,true,1958-12-11,HVO,Upper Volta,,1984-08-03
IDN,http://publications.europa.eu/resource/authority/country/IDN,false,1949-12-27,IDN,Indonesia,Indonesia,
IMN,http://publications.europa.eu/resource/authority/country/IMN,false,1950-05-09,IMN,Isle of Man,Isola di Man,
IND,http://publications.europa.eu/resource/authority/country/IND,false,1950-01-26,IND,India,India,
IOT,http://publications.europa.eu/resource/authority/country/IOT,false,1950-05-09,IOT,British Indian Ocean Territory,Territorio britannico dell’oceano Indiano,
IRL,http://publications.europa.eu/resource/authority/country/IRL,false,1950-05-09,IRL,Ireland,Irlanda,
IRN,http://publications.europa.eu/resource/authority/country/IRN,false,1950-05-09,IRN,Iran,Iran,
IRQ,http://publications.europa.eu/resource/authority/country/IRQ,false,1950-05-09,IRQ,Iraq,Iraq,
ISL,http://publications.europa.eu/resource/authority/country/ISL,false,1950-05-09,ISL,Iceland,Islanda,
ISR,http://publications.europa.eu/resource/authority/country/ISR,false,1950-05-09,ISR,Israel,Israele,
ITA,http://publications.europa.eu/resource/authority/country/ITA,false,1950-05-09,ITA,Italy,Italia,
JAM,http://publications.europa.eu/resource/authority/country/JAM,false,1962-08-06,JAM,Jamaica,Giamaica,
JEY,http://publications.europa.eu/resource/authority/country/JEY,false,1950-05-09,JEY,Jersey,Jersey,
JOR,http://publications.europa.eu/resource/authority/country/JOR,false,1950-05-09,JOR,Jordan,Giordania,
JPN,http://publications.europa.eu/resource/authority/country/JPN,false,1950-05-09,JPN,Japan,Giappone,
JTN,http://publications.europa.eu/resource/authority/country/JTN,true,1950-05-09,JTN,Johnston Island,,1986-12-31
KAZ,http://publications.europa.eu/resource/authority/country/KAZ,false,1991-12-16,KAZ,Kazakhstan,Kazakstan,
KEN,http://publications.europa.eu/resource/authority/country/KEN,false,1964-12-12,KEN,Kenya,Kenya,
KGZ,http://publications.europa.eu/resource/authority/country/KGZ,false,1991-08-31,KGZ,Kyrgyzstan,Kirghizistan,
KHM,http://publications.europa.eu/resource/authority/country/KHM,false,1953-11-09,KHM,Cambodia,Cambogia,
KIR,http://publications.europa.eu/resource/authority/country/KIR,false,1979-07-12,KIR,Kiribati,Kiribati,
KNA,http://publications.europa.eu/resource/authority/country/KNA,false,1983-09-19,KNA,Saint Kitts and Nevis,Saint Kitts e Nevis,
KOR,http://publications.europa.eu/resource/authority/country/KOR,false,1948-08-15,KOR,South Korea,Corea del Sud,
KWT,http://publications.europa.eu/resource/authority/country/KWT,false,1961-06-19,KWT,Kuwait,Kuwait,
LAO,http://publications.europa.eu/resource/authority/country/LAO,false,1950-05-09,LAO,Laos,Laos,
LBN,http://publications.europa.eu/resource/authority/country/LBN,false,1950-05-09,LBN,Lebanon,Libano,
LBR,http://publications.europa.eu/resource/authority/country/LBR,false,1950-05-09,LBR,Liberia,Liberia,
LBY,http://publications.europa.eu/resource/authority/country/LBY,false,2018-01-15,LBY,Libya,Libia,
LCA,http://publications.europa.eu/resource/authority/country/LCA,false,1979-02-22,LCA,Saint Lucia,Saint Lucia,
LIE,http://publications.europa.eu/resource/authority/country/LIE,false,1950-05-09,LIE,Liechtenstein,Liechtenstein,
LKA,http://publications.europa.eu/resource/authority/country/LKA,false,1972-05-22,LKA,Sri Lanka,Sri Lanka,
LSO,http://publications.europa.eu/resource/authority/country/LSO,false,1966-10-04,LSO,Lesotho,Lesotho,
LTU,http://publications.europa.eu/resource/authority/country/LTU,false,1991-03-11,LTU,Lithuania,Lituania,
