# Serializing assets/vocabularies/currency/20210929-0/currency.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/currency
# title: Currency
# version: 20210929-0
# description: Currency
key,url,deprecated,valid_until,valid_from,country_code,label_en,label_it
ADF,http://publications.europa.eu/resource/authority/currency/ADF,true,1999-01-01,1990-01-01,ADF,Andorran franc,
ADP,http://publications.europa.eu/resource/authority/currency/ADP,true,1999-01-01,1990-01-01,ADP,Andorran peseta,
AED,http://publications.europa.eu/resource/authority/currency/AED,false,,1990-01-01,AED,UAE dirham,Dirham degli EAU
AFA,http://publications.europa.eu/resource/authority/currency/AFA,true,2002-12-31,1925-01-01,AFA,Afghani,Afghani
AFN,http://publications.europa.eu/resource/authority/currency/AFN,false,,2003-01-01,AFN,Afghani,Afghani
ALK,http://publications.europa.eu/resource/authority/currency/ALK,true,1992-12-31,1926-01-01,ALK,Lek,Lek
ALL,http://publications.europa.eu/resource/authority/currency/ALL,false,,1993-01-01,ALL,Lek,Lek
AMD,http://publications.europa.eu/resource/authority/currency/AMD,false,,1993-11-22,AMD,Dram,Dram
ANG,http://publications.europa.eu/resource/authority/currency/ANG,false,,1990-01-01,ANG,Netherlands Antillean guilder,Fiorino delle Antille olandesi
AOA,http://publications.europa.eu/resource/authority/currency/AOA,false,,2000-01-01,AOA,Kwanza,Kwanza
AON,http://publications.europa.eu/resource/authority/currency/AON,true,1999-12-31,1990-01-01,AON,New Angolan kwanza,
AOR,http://publications.europa.eu/resource/authority/currency/AOR,true,1999-12-31,1996-01-01,AOR,Angolan kwanza readjustado,
ARA,http://publications.europa.eu/resource/authority/currency/ARA,true,1991-12-31,1985-06-15,ARA,Argentine austral,
ARL,http://publications.europa.eu/resource/authority/currency/ARL,true,1983-05-05,1970-01-01,ARL,Argentine peso ley,
ARM,http://publications.europa.eu/resource/authority/currency/ARM,true,1969-12-31,1952-07-25,ARM,Argentine peso moneda nacional,
ARP,http://publications.europa.eu/resource/authority/currency/ARP,true,1985-06-14,1983-05-06,ARP,Argentine peso argentino,
ARS,http://publications.europa.eu/resource/authority/currency/ARS,false,,1992-01-01,ARS,Argentine peso,Peso argentino
ATS,http://publications.europa.eu/resource/authority/currency/ATS,true,1999-01-01,1952-07-25,ATS,Austrian schilling,Scellino austriaco
AUD,http://publications.europa.eu/resource/authority/currency/AUD,false,,1990-01-01,AUD,Australian dollar,Dollaro australiano
AWG,http://publications.europa.eu/resource/authority/currency/AWG,false,,1986-01-01,AWG,Aruban guilder,Fiorino di Aruba
AZM,http://publications.europa.eu/resource/authority/currency/AZM,true,2005-12-31,1992-08-15,AZM,Azerbaijani manat,Manat azero
AZN,http://publications.europa.eu/resource/authority/currency/AZN,false,,2006-01-01,AZN,Azerbaijan manat,Manat azero
BAM,http://publications.europa.eu/resource/authority/currency/BAM,false,,1995-01-01,BAM,Convertible mark,Marco convertibile
BBD,http://publications.europa.eu/resource/authority/currency/BBD,false,,1990-01-01,BBD,Barbados dollar,Dollaro di Barbados
BDT,http://publications.europa.eu/resource/authority/currency/BDT,false,,1990-01-01,BDT,Taka,Taka
BEF,http://publications.europa.eu/resource/authority/currency/BEF,true,1999-01-01,1952-07-25,BEF,Belgian franc,Franco belga
BGJ,http://publications.europa.eu/resource/authority/currency/BGJ,true,1951-12-31,1947-01-01,BGJ,Lev A/52,
BGK,http://publications.europa.eu/resource/authority/currency/BGK,true,1961-12-31,1952-01-01,BGK,Lev A/62,
BGL,http://publications.europa.eu/resource/authority/currency/BGL,true,1999-07-04,1962-01-01,BGL,Lev A/99,
BGN,http://publications.europa.eu/resource/authority/currency/BGN,false,,1999-07-05,BGN,Lev,Lev
BHD,http://publications.europa.eu/resource/authority/currency/BHD,false,,1990-01-01,BHD,Bahraini dinar,Dinaro del Bahrein
BIF,http://publications.europa.eu/resource/authority/currency/BIF,false,,1990-01-01,BIF,Burundi franc,Franco del Burundi
BMD,http://publications.europa.eu/resource/authority/currency/BMD,false,,1990-01-01,BMD,Bermuda dollar,Dollaro delle Bermuda
BND,http://publications.europa.eu/resource/authority/currency/BND,false,,1990-01-01,BND,Brunei dollar,Dollaro del Brunei
BOB,http://publications.europa.eu/resource/authority/currency/BOB,false,,1987-01-01,BOB,Boliviano,Boliviano
BOP,http://publications.europa.eu/resource/authority/currency/BOP,true,1986-12-31,1963-01-01,BOP,Bolivian peso,
BOV,http://publications.europa.eu/resource/authority/currency/BOV,false,,1987-01-01,BOV,Mvdol,Mvdol
BRB,http://publications.europa.eu/resource/authority/currency/BRB,true,1985-12-31,1967-01-01,BRB,Cruzeiro novo,
BRC,http://publications.europa.eu/resource/authority/currency/BRC,true,1989-01-14,1986-01-01,BRC,Cruzado,
BRE,http://publications.europa.eu/resource/authority/currency/BRE,true,1993-07-31,1990-03-16,BRE,Cruzeiro,
BRL,http://publications.europa.eu/resource/authority/currency/BRL,false,,1994-01-01,BRL,Real,Real
BRN,http://publications.europa.eu/resource/authority/currency/BRN,true,1990-03-15,1989-01-15,BRN,Cruzado novo,
BRR,http://publications.europa.eu/resource/authority/currency/BRR,true,1993-12-31,1993-08-01,BRR,Cruzeiro real,
BRZ,http://publications.europa.eu/resource/authority/currency/BRZ,true,1967-12-31,1952-07-25,BRZ,Cruzeiro,
BSD,http://publications.europa.eu/resource/authority/currency/BSD,false,,1990-01-01,BSD,Bahamian dollar,Dollaro delle Bahamas
BTN,http://publications.europa.eu/resource/authority/currency/BTN,false,,1990-01-01,BTN,Ngultrum,Ngultrum
BWP,http://publications.europa.eu/resource/authority/currency/BWP,false,,1990-01-01,BWP,Pula,Pula
BYN,http://publications.europa.eu/resource/authority/currency/BYN,false,,2016-07-01,BYN,Belarusian rouble,Rublo bielorusso
BYR,http://publications.europa.eu/resource/authority/currency/BYR,true,2016-12-31,1992-05-01,BYR,Belarusian rouble,Rublo bielorusso
BZD,http://publications.europa.eu/resource/authority/currency/BZD,false,,1990-01-01,BZD,Belize dollar,Dollaro del Belize
CAD,http://publications.europa.eu/resource/authority/currency/CAD,false,,1950-01-01,CAD,Canadian dollar,Dollaro canadese
CDF,http://publications.europa.eu/resource/authority/currency/CDF,false,,1998-01-01,CDF,Congolese franc,Franco congolese
CHE,http://publications.europa.eu/resource/authority/currency/CHE,false,,2001-01-01,CHE,WIR Euro,WIR Euro
CHF,http://publications.europa.eu/resource/authority/currency/CHF,false,,1990-01-01,CHF,Swiss franc,Franco svizzero
CHW,http://publications.europa.eu/resource/authority/currency/CHW,false,,1934-01-01,CHW,WIR Franc,WIR Franc
CLE,http://publications.europa.eu/resource/authority/currency/CLE,true,1975-09-29,1960-01-01,CLE,Chilean escudo,
CLF,http://publications.europa.eu/resource/authority/currency/CLF,false,,1967-01-20,CLF,Unidad de Fomento,Unidad de Fomento
CLP,http://publications.europa.eu/resource/authority/currency/CLP,false,,1975-09-30,CLP,Chilean peso,Peso cileno
CNY,http://publications.europa.eu/resource/authority/currency/CNY,false,,1990-01-01,CNY,Renminbi-yuan,Renminbi-yuan
COP,http://publications.europa.eu/resource/authority/currency/COP,false,,1990-01-01,COP,Colombian peso,Peso colombiano
COU,http://publications.europa.eu/resource/authority/currency/COU,false,,2000-01-01,COU,Unidad de Valor Real,Unidad de Valor Real
CRC,http://publications.europa.eu/resource/authority/currency/CRC,false,,1990-01-01,CRC,Costa Rican colon,Colón costaricano
CSJ,http://publications.europa.eu/resource/authority/currency/CSJ,true,1953-12-31,1945-01-01,CSJ,Czechoslovak koruna,
