# Serializing assets/vocabularies/data-theme/latest/data-theme.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/data-theme
# title: Data theme
# version: 20200923-0
# description: Data theme
key,url,deprecated,valid_from,country_code,label_en,label_it
AGRI,http://publications.europa.eu/resource/authority/data-theme/AGRI,false,2015-10-01,AGRI,"Agriculture, fisheries, forestry and food","Agricoltura, pesca, silvicoltura e prodotti alimentari"
ECON,http://publications.europa.eu/resource/authority/data-theme/ECON,false,2015-10-01,ECON,Economy and finance,Economia e finanze
EDUC,http://publications.europa.eu/resource/authority/data-theme/EDUC,false,2015-10-01,EDUC,"Education, culture and sport","Istruzione, cultura e sport"
ENER,http://publications.europa.eu/resource/authority/data-theme/ENER,false,2015-10-01,ENER,Energy,Energia
ENVI,http://publications.europa.eu/resource/authority/data-theme/ENVI,false,2015-10-01,ENVI,Environment,Ambiente
GOVE,http://publications.europa.eu/resource/authority/data-theme/GOVE,false,2015-10-01,GOVE,Government and public sector,Governo e settore pubblico
HEAL,http://publications.europa.eu/resource/authority/data-theme/HEAL,false,2015-10-01,HEAL,Health,Salute
INTR,http://publications.europa.eu/resource/authority/data-theme/INTR,false,2015-10-01,INTR,International issues,Tematiche internazionali
JUST,http://publications.europa.eu/resource/authority/data-theme/JUST,false,2015-10-01,JUST,"Justice, legal system and public safety","Giustizia, sistema giuridico e sicurezza pubblica"
OP_DATPRO,http://publications.europa.eu/resource/authority/data-theme/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
REGI,http://publications.europa.eu/resource/authority/data-theme/REGI,false,2015-10-01,REGI,Regions and cities,Regioni e città
SOCI,http://publications.europa.eu/resource/authority/data-theme/SOCI,false,2015-10-01,SOCI,Population and society,Popolazione e società
TECH,http://publications.europa.eu/resource/authority/data-theme/TECH,false,2015-10-01,TECH,Science and technology,Scienza e tecnologia
TRAN,http://publications.europa.eu/resource/authority/data-theme/TRAN,false,2015-10-01,TRAN,Transport,Trasporti
