# Serializing assets/vocabularies/direct-award-justification/latest/direct-award-justification.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/direct-award-justification
# title: Direct award justification
# version: 20210616-0
# description: Direct award justification
key,url,country_code,label_en,label_it,deprecated,valid_from
OP_DATPRO,http://publications.europa.eu/resource/authority/direct-award-justification/OP_DATPRO,OP_DATPRO,Provisional data,Dati provvisori,,
additional,http://publications.europa.eu/resource/authority/direct-award-justification/additional,additional,Need for additional works or services by the original contractor,Necessità di ulteriori lavori o servizi eseguiti dall'appaltatore originale,false,2020-06-24
artistic,http://publications.europa.eu/resource/authority/direct-award-justification/artistic,artistic,The contract can be provided only by a particular economic operator because of creation or acquisition of a unique work of art or artistic performance,L'appalto può essere eseguito solo da un particolare operatore economico in quanto consiste nella creazione o nell'acquisizione di un'opera d'arte o rappresentazione artistica unica,false,2019-09-18
bargain,http://publications.europa.eu/resource/authority/direct-award-justification/bargain,bargain,Bargain purchase taking advantage of a particularly advantageous opportunity available for a very short time at a price considerably lower than market prices,"Acquisti d'opportunità, approfittando di un'occasione particolarmente vantaggiosa ma di breve durata, a prezzo sensibilmente inferiore ai prezzi normalmente praticati sul mercato",false,2019-09-18
below-thres,http://publications.europa.eu/resource/authority/direct-award-justification/below-thres,below-thres,Contracts with estimated value below the procurement thresholds,Appalti il cui valore stimato è inferiore alle soglie relative agli appalti,false,2020-06-24
below-thres-sme,http://publications.europa.eu/resource/authority/direct-award-justification/below-thres-sme,below-thres-sme,Small scale contract to a small and medium sized enterprise,,false,2021-06-16
closure,http://publications.europa.eu/resource/authority/direct-award-justification/closure,closure,Purchase on particularly advantageous terms from an economic operator which is definitely winding up its business activities,"Acquisto a condizioni particolarmente vantaggiose, da un fornitore che cessa definitivamente l'attività commerciale",false,2019-09-18
commodity,http://publications.europa.eu/resource/authority/direct-award-justification/commodity,commodity,Procurement of supplies quoted and purchased on a commodity market,Appalto di forniture quotate e acquistate sul mercato delle materie prime,false,2019-09-18
contest,http://publications.europa.eu/resource/authority/direct-award-justification/contest,contest,Service contract to be awarded to the winner or one of winners under the rules of a design contest,Appalto di servizi che deve essere aggiudicato al vincitore o ad uno dei vincitori secondo le regole di un concorso di progettazione,false,2019-09-18
crisis,http://publications.europa.eu/resource/authority/direct-award-justification/crisis,crisis,The periods for the restricted procedure and the negotiated procedure with prior publication of a contract notice are incompatible with the urgency resulting from a crisis,L'urgenza risultante da situazioni di crisi non è compatibile con i termini previsti dalla procedura ristretta e dalla procedura negoziata con pubblicazione di un bando di gara,false,2019-09-18
defse-excl,http://publications.europa.eu/resource/authority/direct-award-justification/defse-excl,defse-excl,Defence-specific and security-specific exclusions,Esclusioni specifiche nei settori della difesa e della sicurezza,false,2020-06-24
dir24-list,http://publications.europa.eu/resource/authority/direct-award-justification/dir24-list,dir24-list,"Contracts listed in Directive 2014/24/EU Art. 7, but not falling within the scope of Directive 2014/25/EU","Appalti elencati nella direttiva 2014/24/UE, articolo 7, ma non rientranti nell'ambito della direttiva 2014/25/UE",false,2020-06-24
dir81-annexii,http://publications.europa.eu/resource/authority/direct-award-justification/dir81-annexii,dir81-annexii,The contract falls within the services listed in Annex II of the Directive 2009/81/EC,L'appalto rientra nell'elenco dei servizi di cui all'allegato II della direttiva 2009/81/CE,false,2019-09-18
dir81-transport,http://publications.europa.eu/resource/authority/direct-award-justification/dir81-transport,dir81-transport,"Contract related to the provision of air and maritime transport services for the armed forces of a Member State deployed or to be deployed abroad, under the strict conditions stated in the Directive","Appalti aventi per oggetto servizi di trasporto aereo e marittimo per le forze armate di uno Stato membro di stanza o che devono essere stanziate all'estero, conformemente alle rigorose condizioni fissate dalla direttiva",false,2019-09-18
ecom-excl,http://publications.europa.eu/resource/authority/direct-award-justification/ecom-excl,ecom-excl,Specific exclusion in the field of electronic communications,Esclusione specifica nel settore delle comunicazioni elettroniche,false,2020-06-24
energy-supply,http://publications.europa.eu/resource/authority/direct-award-justification/energy-supply,energy-supply,Contracts awarded for the supply of energy or of fuels for the production of energy,Appalti aggiudicati per la fornitura di energia o di combustibili destinati alla produzione di energia,false,2020-06-24
exclusive,http://publications.europa.eu/resource/authority/direct-award-justification/exclusive,exclusive,"The contract can be provided only by a particular economic operator because of exclusive rights, including intellectual property rights","L'appalto può essere eseguito solo da un particolare operatore economico per motivi di tutela di diritti esclusivi, inclusi i diritti di proprietà intellettuale",false,2019-09-18
existing,http://publications.europa.eu/resource/authority/direct-award-justification/existing,existing,Partial replacement or extension of existing supplies or installations by the original supplier ordered under the strict conditions stated in the Directive,"Rinnovo parziale o ampliamento di forniture o impianti esistenti realizzati dal fornitore originario, commissionati conformemente alle rigorose condizioni fissate dalla direttiva",false,2019-09-18
in-house,http://publications.europa.eu/resource/authority/direct-award-justification/in-house,in-house,"Public contract between organisations within the public sector ('in-house'), contracts awarded to affiliated undertakings, or contracts awarded to a joint venture or within a joint venture","Appalto pubblico tra enti nell'ambito del settore pubblico (appalto «in-house»), appalti aggiudicati a imprese collegate o appalti aggiudicati a una joint-venture o nell'ambito di una joint-venture",false,2020-06-24
int-oper,http://publications.europa.eu/resource/authority/direct-award-justification/int-oper,int-oper,Internal operator,,false,2021-06-16
int-rules,http://publications.europa.eu/resource/authority/direct-award-justification/int-rules,int-rules,Procedure according to international rules,Procedura organizzata in base a norme internazionali,false,2020-06-24
irregular,http://publications.europa.eu/resource/authority/direct-award-justification/irregular,irregular,"Only irregular or unacceptable tenders were received in response to a previous notice. All and only those tenderers of the previous procedure which have satisfied the selection criteria, have not fulfilled the exclusion grounds and have satisfied formal requirements, were included in the negotiations","In esito a un avviso o bando precedente sono pervenute solo offerte non regolari o inaccettabili. Sono stati ammessi alla procedura negoziata unicamente tutti gli offerenti della procedura precedente che hanno soddisfatto i criteri di selezione, non sono ricaduti in cause di esclusione e hanno soddisfatto i requisiti formali",false,2019-09-18
liquidator,http://publications.europa.eu/resource/authority/direct-award-justification/liquidator,liquidator,"Purchase on particularly advantageous terms from the liquidator in an insolvency procedure, an arrangement with creditors or a similar procedure under national laws and regulations","Acquisto a condizioni particolarmente vantaggiose, dal curatore o liquidatore di un fallimento, di un concordato giudiziario o di una procedura analoga prevista nelle legislazioni o regolamentazioni nazionali",false,2019-09-18
non-buyer-aw,http://publications.europa.eu/resource/authority/direct-award-justification/non-buyer-aw,non-buyer-aw,Contract awarded by parties that are not buyers,Contratti aggiudicati da parti che non sono committenti,false,2020-06-24
non-contr,http://publications.europa.eu/resource/authority/direct-award-justification/non-contr,non-contr,Certain cases of non-contractual nature,Determinati casi di natura extracontrattuale,false,2020-06-24
non-p-int,http://publications.europa.eu/resource/authority/direct-award-justification/non-p-int,non-p-int,Contracts for non-pecuniary interest,Contratti non a titolo oneroso,false,2020-06-24
not-wss,http://publications.europa.eu/resource/authority/direct-award-justification/not-wss,not-wss,"Contracts whose purpose is not the execution of works, the supply of products and the provision of services","Contratti non aventi per oggetto l'esecuzione di lavori, la fornitura di prodotti o la prestazione di servizi",false,2020-06-24
other-activity,http://publications.europa.eu/resource/authority/direct-award-justification/other-activity,other-activity,Contracts awarded for purposes other than the pursuit of a covered activity or for the pursuit of such an activity in a third country,Appalti aggiudicati per fini diversi dal perseguimento di un'attività interessata o per l'esercizio di un'attività in un paese terzo,false,2020-06-24
other-exclusive,http://publications.europa.eu/resource/authority/direct-award-justification/other-exclusive,other-exclusive,"The contract can be provided only by a particular economic operator because of protection of other exclusive rights, including intellectual property rights, other than those defined in Directive 2014/23/EU Art. 5(10)","L'appalto può essere eseguito solo da un particolare operatore economico per motivi di tutela di altri diritti esclusivi, inclusi i diritti di proprietà intellettuale, diversi da quelli definiti dalla direttiva 2014/23/UE, articolo 5, paragrafo 10",false,2019-09-18
rail,http://publications.europa.eu/resource/authority/direct-award-justification/rail,rail,Railway transport,,false,2021-06-16
rd,http://publications.europa.eu/resource/authority/direct-award-justification/rd,rd,The contract concerns research and development services other than those referred to in Directive 2009/81/EC Art. 13,"L'appalto riguarda servizi di ricerca e sviluppo diversi da quelli di cui alla direttiva 2009/81/CE, articolo 13",false,2019-09-18
repetition,http://publications.europa.eu/resource/authority/direct-award-justification/repetition,repetition,"New works or services, constituting a repetition of existing works or services and ordered in accordance with the strict conditions stated in the Directive","Nuovi lavori o servizi consistenti nella ripetizione di lavori o servizi analoghi, commissionati conformemente alle rigorose condizioni fissate dalla direttiva",false,2019-09-18
resd,http://publications.europa.eu/resource/authority/direct-award-justification/resd,resd,"Purpose of the contract is purely research, experiment, study or development under the conditions stated in the Directive","L'oggetto dell'appalto riguarda unicamente scopi di ricerca, di sperimentazione, di studio o di sviluppo alle condizioni della direttiva",false,2019-09-18
rl-third,http://publications.europa.eu/resource/authority/direct-award-justification/rl-third,rl-third,Contracts awarded for purposes of resale or lease to third parties,Appalti aggiudicati a scopo di rivendita o di locazione a terzi,false,2020-06-24
sc-right,http://publications.europa.eu/resource/authority/direct-award-justification/sc-right,sc-right,Service contract awarded on the basis of an exclusive right,Appalto di servizio aggiudicato in base a un diritto esclusivo,false,2020-06-24
serv-excl,http://publications.europa.eu/resource/authority/direct-award-justification/serv-excl,serv-excl,Specific exclusions for service contracts,Esclusioni specifiche per gli appalti di servizi,false,2020-06-24
spe-arrang,http://publications.europa.eu/resource/authority/direct-award-justification/spe-arrang,spe-arrang,Activities directly exposed to competition and contracts subject to special arrangements,Attività direttamente esposte alla concorrenza e appalti soggetti a disposizioni specifiche,false,2020-06-24
technical,http://publications.europa.eu/resource/authority/direct-award-justification/technical,technical,The contract can be provided only by a particular economic operator because of an absence of competition for technical reasons,L'appalto può essere eseguito solo da un particolare operatore economico a causa dell'assenza di concorrenza per motivi tecnici,false,2019-09-18
tra-ser,http://publications.europa.eu/resource/authority/direct-award-justification/tra-ser,tra-ser,Concessions for air transport services based on the granting of an operating licence within the meaning of Regulation (EC) No 1008/2008 or for public passenger transport services within the meaning of Regulation (EC) No 1370/2007,Concessioni di servizi di trasporto aereo sulla base di una licenza di gestione a norma del regolamento (CE) n. 1008/2008 del Parlamento europeo e del Consiglio o concessioni di servizi di trasporto pubblico di passeggeri ai sensi del regolamento (CE) n. 1370/2007,false,2020-06-24
unsuitable,http://publications.europa.eu/resource/authority/direct-award-justification/unsuitable,unsuitable,"No suitable tenders, requests to participate, or applications were received in response to a previous notice","Non è stata presentata alcuna offerta appropriata, né alcuna domanda di partecipazione o candidatura appropriata in esito a un avviso o bando precedente",false,2019-09-18
