# Serializing assets/vocabularies/filetypes/latest/filetypes.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/file-type
# title: File type
# version: 20210929-0
# description: File type
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
7Z,http://publications.europa.eu/resource/authority/file-type/7Z,false,2000-01-01,7Z,7z,,
AAC,http://publications.europa.eu/resource/authority/file-type/AAC,false,1997-01-01,AAC,AAC,,
AKN4EU,http://publications.europa.eu/resource/authority/file-type/AKN4EU,false,2019-06-20,AKN4EU,AKN4EU file,,
AKN4EU_ZIP,http://publications.europa.eu/resource/authority/file-type/AKN4EU_ZIP,false,2019-06-20,AKN4EU_ZIP,AKN4EU ZIP,,
APK,http://publications.europa.eu/resource/authority/file-type/APK,false,2008-09-23,APK,APK,,
APPX,http://publications.europa.eu/resource/authority/file-type/APPX,false,2012-10-26,APPX,AppX,,
ARC,http://publications.europa.eu/resource/authority/file-type/ARC,false,1996-05-12,ARC,ARC,,
ARC_GZ,http://publications.europa.eu/resource/authority/file-type/ARC_GZ,false,2012-09-01,ARC_GZ,ARC GZ,,
ARJ,http://publications.europa.eu/resource/authority/file-type/ARJ,false,1990-01-01,ARJ,ARJ,,
ATOM,http://publications.europa.eu/resource/authority/file-type/ATOM,false,2005-12-01,ATOM,Atom Feed,,
AZW,http://publications.europa.eu/resource/authority/file-type/AZW,false,2012-09-01,AZW,Amazon Kindle eBook,,
BIN,http://publications.europa.eu/resource/authority/file-type/BIN,false,1996-11-01,BIN,Binary Data,,
