# Serializing assets/vocabularies/frequencies/latest/frequencies.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/frequency
# title: Frequency
# version: 20190619-0
# description: Frequency
key,url,deprecated,valid_from,country_code,label_en,label_it
ANNUAL,http://publications.europa.eu/resource/authority/frequency/ANNUAL,false,1952-07-25,ANNUAL,annual,annuale
ANNUAL_2,http://publications.europa.eu/resource/authority/frequency/ANNUAL_2,false,1952-07-25,ANNUAL_2,semiannual,semestrale
ANNUAL_3,http://publications.europa.eu/resource/authority/frequency/ANNUAL_3,false,1952-07-25,ANNUAL_3,three times a year,tre volte all'anno
BIDECENNIAL,http://publications.europa.eu/resource/authority/frequency/BIDECENNIAL,false,1952-07-25,BIDECENNIAL,bidecennial,bidecennale
BIENNIAL,http://publications.europa.eu/resource/authority/frequency/BIENNIAL,false,1952-07-25,BIENNIAL,biennial,biennale
BIHOURLY,http://publications.europa.eu/resource/authority/frequency/BIHOURLY,false,1952-07-25,BIHOURLY,bihourly,ogni due ore
BIMONTHLY,http://publications.europa.eu/resource/authority/frequency/BIMONTHLY,false,1952-07-25,BIMONTHLY,bimonthly,bimestrale
BIWEEKLY,http://publications.europa.eu/resource/authority/frequency/BIWEEKLY,false,1952-07-25,BIWEEKLY,biweekly,quindicinale
CONT,http://publications.europa.eu/resource/authority/frequency/CONT,false,1952-07-25,CONT,continuous,continuo
DAILY,http://publications.europa.eu/resource/authority/frequency/DAILY,false,1952-07-25,DAILY,daily,quotidiano
DAILY_2,http://publications.europa.eu/resource/authority/frequency/DAILY_2,false,1952-07-25,DAILY_2,twice a day,due volte al giorno
DECENNIAL,http://publications.europa.eu/resource/authority/frequency/DECENNIAL,false,1952-07-25,DECENNIAL,decennial,decennale
HOURLY,http://publications.europa.eu/resource/authority/frequency/HOURLY,false,1952-07-25,HOURLY,hourly,ogni ora
IRREG,http://publications.europa.eu/resource/authority/frequency/IRREG,false,1952-07-25,IRREG,irregular,irregolare
MONTHLY,http://publications.europa.eu/resource/authority/frequency/MONTHLY,false,1952-07-25,MONTHLY,monthly,mensile
MONTHLY_2,http://publications.europa.eu/resource/authority/frequency/MONTHLY_2,false,1952-07-25,MONTHLY_2,semimonthly,bimensile
MONTHLY_3,http://publications.europa.eu/resource/authority/frequency/MONTHLY_3,false,1952-07-25,MONTHLY_3,three times a month,tre volte al mese
NEVER,http://publications.europa.eu/resource/authority/frequency/NEVER,false,1952-07-25,NEVER,never,mai
OP_DATPRO,http://publications.europa.eu/resource/authority/frequency/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
OTHER,http://publications.europa.eu/resource/authority/frequency/OTHER,false,1952-07-25,OTHER,other,altro
QUADRENNIAL,http://publications.europa.eu/resource/authority/frequency/QUADRENNIAL,false,1952-07-25,QUADRENNIAL,quadrennial,ogni quattro anni
QUARTERLY,http://publications.europa.eu/resource/authority/frequency/QUARTERLY,false,1952-07-25,QUARTERLY,quarterly,trimestrale
QUINQUENNIAL,http://publications.europa.eu/resource/authority/frequency/QUINQUENNIAL,false,1952-07-25,QUINQUENNIAL,quinquennial,ogni cinque anni
TRIDECENNIAL,http://publications.europa.eu/resource/authority/frequency/TRIDECENNIAL,false,1952-07-25,TRIDECENNIAL,tridecennial,tridecennale
TRIENNIAL,http://publications.europa.eu/resource/authority/frequency/TRIENNIAL,false,1952-07-25,TRIENNIAL,triennial,triennale
TRIHOURLY,http://publications.europa.eu/resource/authority/frequency/TRIHOURLY,false,1952-07-25,TRIHOURLY,trihourly,ogni tre ore
UNKNOWN,http://publications.europa.eu/resource/authority/frequency/UNKNOWN,false,1952-07-25,UNKNOWN,unknown,sconosciuto
UPDATE_CONT,http://publications.europa.eu/resource/authority/frequency/UPDATE_CONT,false,1952-07-25,UPDATE_CONT,continuously updated,in continuo aggiornamento
WEEKLY,http://publications.europa.eu/resource/authority/frequency/WEEKLY,false,1952-07-25,WEEKLY,weekly,settimanale
WEEKLY_2,http://publications.europa.eu/resource/authority/frequency/WEEKLY_2,false,1952-07-25,WEEKLY_2,semiweekly,bisettimanale
WEEKLY_3,http://publications.europa.eu/resource/authority/frequency/WEEKLY_3,false,1952-07-25,WEEKLY_3,three times a week,tre volte a settimana
