# Serializing assets/vocabularies/irregularity-type/latest/irregularity-type.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/irregularity-type
# title: Irregularity type
# version: 20210929-0
# description: Irregularity type
key,url,country_code,label_en,label_it,deprecated,valid_from
OP_DATPRO,http://publications.europa.eu/resource/authority/irregularity-type/OP_DATPRO,OP_DATPRO,Provisional data,Dati provvisori,,
ab-low,http://publications.europa.eu/resource/authority/irregularity-type/ab-low,ab-low,Unjustified rejection of abnormally low tenders,Rigetto ingiustificato di offerte anormalmente basse,false,2020-06-24
ar-split,http://publications.europa.eu/resource/authority/irregularity-type/ar-split,ar-split,Artificial splitting of contracts,Frazionamento artificioso degli appalti,false,2020-06-24
bid-rigging,http://publications.europa.eu/resource/authority/irregularity-type/bid-rigging,bid-rigging,"Bid-rigging (established by a competition / anti-cartel office, a court or other competent body)","Turbativa d'asta (accertata da un'autorità anticartello o garante della concorrenza, da un organo giurisdizionale o da un altro organismo competente)",false,2020-06-24
change-eval,http://publications.europa.eu/resource/authority/irregularity-type/change-eval,change-eval,"Negotiation during the award procedure, including modification of the winning tender during evaluation","Negoziazione nel corso della procedura di aggiudicazione, comprese modifiche dell'offerta vincitrice durante la valutazione",false,2020-06-24
conf-int,http://publications.europa.eu/resource/authority/irregularity-type/conf-int,conf-int,Conflict of interest with impact on the outcome of the procurement procedure,Conflitto di interessi con incidenza sul risultato della procedura di appalto,false,2020-06-24
cp-mod-cond,http://publications.europa.eu/resource/authority/irregularity-type/cp-mod-cond,cp-mod-cond,"Competitive procedure with negotiation, with substantial modification of the conditions set out in the contract notice or tender specifications","Procedura competitiva con negoziazione, con modifica sostanziale delle condizioni fissate nel bando di gara o nel capitolato d'oneri",false,2020-06-24
elem-mod,http://publications.europa.eu/resource/authority/irregularity-type/elem-mod,elem-mod,"Modifications of the contract elements set out in the contract notice or tender specifications, not in compliance with the relevant rules",Modifica degli elementi dell'appalto stabiliti nel bando di gara o nel capitolato d'oneri in maniera non conforme alle norme pertinenti,false,2020-06-24
eva-add-crit,http://publications.europa.eu/resource/authority/irregularity-type/eva-add-crit,eva-add-crit,Evaluation using additional award criteria that were not published,Valutazione secondo ulteriori criteri di aggiudicazione che non sono stati pubblicati,false,2020-06-24
eva-diff-crit,http://publications.europa.eu/resource/authority/irregularity-type/eva-diff-crit,eva-diff-crit,Evaluation of tenders using award criteria that are different from the ones stated in the contract notice or tender specifications,Valutazione delle offerte in base a criteri di aggiudicazione differenti da quelli pubblicati nel bando di gara o nel capitolato d'oneri,false,2020-06-24
formal,http://publications.europa.eu/resource/authority/irregularity-type/formal,formal,Formal,Formale,false,2020-06-24
ins-audit,http://publications.europa.eu/resource/authority/irregularity-type/ins-audit,ins-audit,Insufficient audit trail for the award of the contract,Pista di controllo insufficiente in relazione all'aggiudicazione dell'appalto,false,2020-06-24
insuf-timl,http://publications.europa.eu/resource/authority/irregularity-type/insuf-timl,insuf-timl,Insufficient time for potential tenderers/candidates to obtain the procurement documents,Tempo insufficiente affinché i potenziali offerenti o candidati ottengano la documentazione di gara,false,2020-06-24
irr-involv,http://publications.europa.eu/resource/authority/irregularity-type/irr-involv,irr-involv,Irregular prior involvement of candidates or tenderers with the buyer,Precedenti relazioni irregolari di candidati o offerenti con il committente,false,2020-06-24
mod-inco,http://publications.europa.eu/resource/authority/irregularity-type/mod-inco,mod-inco,Selection criteria or technical specifications were modified after opening of tenders or were incorrectly applied,Criteri di selezione o specifiche tecniche sottoposti a modifica dopo l'apertura delle offerte oppure applicati in modo scorretto,false,2020-06-24
nc-proc-eap,http://publications.europa.eu/resource/authority/irregularity-type/nc-proc-eap,nc-proc-eap,Non-compliance with the procedure established in the Directive for electronic and aggregated procurement,Inosservanza della procedura stabilita nella direttiva per gli appalti elettronici e aggregati,false,2020-06-24
nc-timl,http://publications.europa.eu/resource/authority/irregularity-type/nc-timl,nc-timl,Non-compliance with time limits for receipt of tenders or time limits for receipt of requests to participate,Inosservanza dei termini per la ricezione delle offerte o dei termini per la ricezione delle domande di partecipazione,false,2020-06-24
ncompl-awcrit,http://publications.europa.eu/resource/authority/irregularity-type/ncompl-awcrit,ncompl-awcrit,Failure to describe in sufficient detail the award criteria and their weighting,Descrizione non sufficientemente dettagliata dei criteri di aggiudicazione e della relativa ponderazione,false,2020-06-24
ncompl-cn,http://publications.europa.eu/resource/authority/irregularity-type/ncompl-cn,ncompl-cn,"Failure to publish in the contract notice the technical specifications, selection criteria, award criteria (and their weighing), or contract performance conditions","Mancata pubblicazione nel bando di gara delle specifiche tecniche, dei criteri di selezione, dei criteri di aggiudicazione (e della relativa ponderazione) o delle condizioni di esecuzione dell'appalto",false,2020-06-24
ncompl-com,http://publications.europa.eu/resource/authority/irregularity-type/ncompl-com,ncompl-com,Failure to communicate and/or publish clarifications and/or additional information,Mancata comunicazione e/o pubblicazione di chiarimenti e/o informazioni supplementari,false,2020-06-24
ncompl-sub,http://publications.europa.eu/resource/authority/irregularity-type/ncompl-sub,ncompl-sub,Insufficient or imprecise definition of the subject matter of the contract,Definizione insufficiente o imprecisa dell'oggetto dell'appalto,false,2020-06-24
no-notice,http://publications.europa.eu/resource/authority/irregularity-type/no-notice,no-notice,Lack of publication of contract notice or unjustified direct award,Mancata pubblicazione del bando di gara o assegnazione diretta ingiustificata,false,2020-06-24
noex-addinfo,http://publications.europa.eu/resource/authority/irregularity-type/noex-addinfo,noex-addinfo,"Failure to extend time limits for receipt of tenders or requests to participate where additional information, although requested by the economic operator in good time, is not supplied at the latest six days before the time limit","Mancata proroga dei termini per la ricezione delle offerte o delle domande di partecipazione nel caso in cui le informazioni supplementari, seppur richieste in tempo utile dall'operatore economico, non sono fornite al più tardi sei giorni prima del termine stabilito",false,2020-06-24
noex-timl,http://publications.europa.eu/resource/authority/irregularity-type/noex-timl,noex-timl,Failure to extend time limits for receipt of tenders or requests to participate where significant changes are made to the procurement documents,Mancata proroga dei termini per la ricezione delle offerte o delle domande di partecipazione qualora siano state apportate modifiche significative alla documentazione di gara,false,2020-06-24
nojust-nolots,http://publications.europa.eu/resource/authority/irregularity-type/nojust-nolots,nojust-nolots,Lack of justification for not subdividing contract into lots,Mancanza di giustificazione dell'omessa suddivisione di un appalto in lotti,false,2020-06-24
