# Serializing assets/vocabularies/labeltypes/latest/labeltypes.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/label-type
# title: Label type
# version: 20210616-0
# description: Label type
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
ABRIDGEDLABEL,http://publications.europa.eu/resource/authority/label-type/ABRIDGEDLABEL,false,2014-11-26,ABRIDGEDLABEL,abridged,,
ACRONYM,http://publications.europa.eu/resource/authority/label-type/ACRONYM,false,2012-07-05,ACRONYM,acronym,,
ADJECTIVE,http://publications.europa.eu/resource/authority/label-type/ADJECTIVE,false,2012-07-05,ADJECTIVE,adjectival,,
ALTERNATIVELABEL,http://publications.europa.eu/resource/authority/label-type/ALTERNATIVELABEL,false,2012-07-05,ALTERNATIVELABEL,alternative,,
ATTOLABEL,http://publications.europa.eu/resource/authority/label-type/ATTOLABEL,true,2018-02-28,ATTOLABEL,ATTO,2019-09-17,
COUNTLABEL,http://publications.europa.eu/resource/authority/label-type/COUNTLABEL,false,2014-11-26,COUNTLABEL,count,,
CURRENCYSUBUNIT,http://publications.europa.eu/resource/authority/label-type/CURRENCYSUBUNIT,false,2012-07-05,CURRENCYSUBUNIT,subunit,,
DEMONYM,http://publications.europa.eu/resource/authority/label-type/DEMONYM,false,2018-02-22,DEMONYM,demonym,,
FORMLABEL,http://publications.europa.eu/resource/authority/label-type/FORMLABEL,true,2018-02-28,FORMLABEL,form,2019-09-17,
GRAMMATICAL,http://publications.europa.eu/resource/authority/label-type/GRAMMATICAL,false,2021-06-16,GRAMMATICAL,grammatical,,
LONGLABEL,http://publications.europa.eu/resource/authority/label-type/LONGLABEL,false,2012-07-05,LONGLABEL,long,,
OFFICIALLABEL,http://publications.europa.eu/resource/authority/label-type/OFFICIALLABEL,false,2012-07-05,OFFICIALLABEL,official,,
ORIGINALLABEL,http://publications.europa.eu/resource/authority/label-type/ORIGINALLABEL,false,2012-07-05,ORIGINALLABEL,original,,
ORTHOGRAPHICAL,http://publications.europa.eu/resource/authority/label-type/ORTHOGRAPHICAL,false,2021-06-16,ORTHOGRAPHICAL,orthographical,,
SHORTLABEL,http://publications.europa.eu/resource/authority/label-type/SHORTLABEL,false,2012-07-05,SHORTLABEL,short,,
STANDARDLABEL,http://publications.europa.eu/resource/authority/label-type/STANDARDLABEL,false,2012-07-05,STANDARDLABEL,preferred,,
SYMBOL,http://publications.europa.eu/resource/authority/label-type/SYMBOL,false,2019-02-20,SYMBOL,symbol,,
OP_DATPRO,http://publications.europa.eu/resource/authority/labeltypes/OP_DATPRO,false,1952-07-23,OP_DATPRO,Provisional data,,Dati provvisori
