# Serializing assets/vocabularies/languages/latest/languages.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/language
# title: Language
# version: 20210929-0
# description: Language
key,url,deprecated,valid_until,valid_from,country_code,label_en,label_it
0D0,http://publications.europa.eu/resource/authority/language/0D0,true,2018-04-15,1950-05-09,0D0,Valencian,valenziano
0E0,http://publications.europa.eu/resource/authority/language/0E0,true,2017-12-07,2006-06-03,0E0,Montenegrin,montenegrino
AAA,http://publications.europa.eu/resource/authority/language/AAA,false,,1950-05-09,AAA,,
AAB,http://publications.europa.eu/resource/authority/language/AAB,false,,1950-05-09,AAB,,
AAC,http://publications.europa.eu/resource/authority/language/AAC,false,,1950-05-09,AAC,,
AAD,http://publications.europa.eu/resource/authority/language/AAD,false,,1950-05-09,AAD,,
AAE,http://publications.europa.eu/resource/authority/language/AAE,false,,1950-05-09,AAE,,
AAF,http://publications.europa.eu/resource/authority/language/AAF,false,,1950-05-09,AAF,,
AAG,http://publications.europa.eu/resource/authority/language/AAG,false,,1950-05-09,AAG,,
AAH,http://publications.europa.eu/resource/authority/language/AAH,false,,1950-05-09,AAH,,
AAI,http://publications.europa.eu/resource/authority/language/AAI,false,,1950-05-09,AAI,,
AAK,http://publications.europa.eu/resource/authority/language/AAK,false,,1950-05-09,AAK,,
AAL,http://publications.europa.eu/resource/authority/language/AAL,false,,1950-05-09,AAL,,
AAM,http://publications.europa.eu/resource/authority/language/AAM,false,,1950-05-09,AAM,,
AAN,http://publications.europa.eu/resource/authority/language/AAN,false,,1950-05-09,AAN,,
AAO,http://publications.europa.eu/resource/authority/language/AAO,false,,1950-05-09,AAO,,
AAP,http://publications.europa.eu/resource/authority/language/AAP,false,,1950-05-09,AAP,,
AAQ,http://publications.europa.eu/resource/authority/language/AAQ,false,,1950-05-09,AAQ,,
AAR,http://publications.europa.eu/resource/authority/language/AAR,false,,1950-05-09,AAR,,
AAS,http://publications.europa.eu/resource/authority/language/AAS,false,,1950-05-09,AAS,,
AAT,http://publications.europa.eu/resource/authority/language/AAT,false,,1950-05-09,AAT,,
AAU,http://publications.europa.eu/resource/authority/language/AAU,false,,1950-05-09,AAU,,
AAW,http://publications.europa.eu/resource/authority/language/AAW,false,,1950-05-09,AAW,,
AAX,http://publications.europa.eu/resource/authority/language/AAX,false,,1950-05-09,AAX,,
AAZ,http://publications.europa.eu/resource/authority/language/AAZ,false,,1950-05-09,AAZ,,
ABA,http://publications.europa.eu/resource/authority/language/ABA,false,,1950-05-09,ABA,,
ABB,http://publications.europa.eu/resource/authority/language/ABB,false,,1950-05-09,ABB,,
ABC,http://publications.europa.eu/resource/authority/language/ABC,false,,1950-05-09,ABC,,
ABD,http://publications.europa.eu/resource/authority/language/ABD,false,,1950-05-09,ABD,,
