# Serializing assets/vocabularies/legal-basis/latest/legal-basis.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/legal-basis
# title: Legal basis
# version: 20210616-0
# description: Legal basis
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
1995_499-XIII,http://publications.europa.eu/resource/authority/legal-basis/1995_499-XIII,false,2021-06-16,1995_499-XIII,Ratified Parliament Decision (1995) No 499-XIII,,
2011CEB_PROC_EXT,http://publications.europa.eu/resource/authority/legal-basis/2011CEB_PROC_EXT,false,2021-06-16,2011CEB_PROC_EXT,"Guidelines for Procurement of Supplies, Works and Services",,
2014CEB_PROC_INT,http://publications.europa.eu/resource/authority/legal-basis/2014CEB_PROC_INT,false,2021-06-16,2014CEB_PROC_INT,"Guidelines on the internal procurement of services, supplies and works by the CEB",,
2020CEB_GRANT,http://publications.europa.eu/resource/authority/legal-basis/2020CEB_GRANT,false,2021-06-16,2020CEB_GRANT,CEB’s competitive procedures to award grants,,
31985R2137,http://publications.europa.eu/resource/authority/legal-basis/31985R2137,false,1985-08-03,31985R2137,Regulation (EEC) No 2137/85,Regolamento (CEE) n. 2137/85,
31992L0013,http://publications.europa.eu/resource/authority/legal-basis/31992L0013,false,1992-03-06,31992L0013,Directive 92/13/EEC,Direttiva 92/13/CEE,
31994D0001,http://publications.europa.eu/resource/authority/legal-basis/31994D0001,false,1994-01-01,31994D0001,"Decision 94/1/EC, ECSC","Decisione 94/1/CE, CECA",
31994D0800,http://publications.europa.eu/resource/authority/legal-basis/31994D0800,false,1994-12-22,31994D0800,Decision 94/800/EC,Decisione 94/800/CE,
32001R2157,http://publications.europa.eu/resource/authority/legal-basis/32001R2157,false,2004-10-08,32001R2157,Regulation (EC) No 2157/2001,Regolamento (CE) n. 2157/2001,
32002D0309,http://publications.europa.eu/resource/authority/legal-basis/32002D0309,false,2002-04-04,32002D0309,"Decision 2002/309/EC, Euratom","Decisione 2002/309/CE, Euratom",
32002R2342,http://publications.europa.eu/resource/authority/legal-basis/32002R2342,true,2003-01-01,32002R2342,"Regulation (EC, Euratom) No 2342/2002","Regolamento (CE, Euratom) n. 2342/2002",2012-12-31
32003R1435,http://publications.europa.eu/resource/authority/legal-basis/32003R1435,false,2003-08-21,32003R1435,Regulation (EC) No 1435/2003,Regolamento (CE) n. 1435/2003,
32004L0017,http://publications.europa.eu/resource/authority/legal-basis/32004L0017,true,2004-04-30,32004L0017,Directive 2004/17/EC,Direttiva 2004/17/CE,2016-04-18
32004L0018,http://publications.europa.eu/resource/authority/legal-basis/32004L0018,true,2004-04-30,32004L0018,Directive 2004/18/EC,Direttiva 2004/18/CE,2016-04-18
32005D0015,http://publications.europa.eu/resource/authority/legal-basis/32005D0015,false,2005-01-07,32005D0015,Decision 2005/15/EC,Decisione 2005/15/CE,
32007D0005_01,http://publications.europa.eu/resource/authority/legal-basis/32007D0005_01,true,2007-08-01,32007D0005_01,Decision 2007/497/EC (ECB/2007/5),Decisione 2007/497/CE (BCE/2007/5),2016-04-14
32007L0066,http://publications.europa.eu/resource/authority/legal-basis/32007L0066,false,2008-01-09,32007L0066,Directive 2007/66/EC,Direttiva 2007/66/CE,
32007R0718,http://publications.europa.eu/resource/authority/legal-basis/32007R0718,false,2007-01-01,32007R0718,Regulation (EC) No 718/2007,Regolamento (CE) n. 718/2007,
32007R1370,http://publications.europa.eu/resource/authority/legal-basis/32007R1370,false,2009-12-03,32007R1370,Regulation (EC) No 1370/2007,Regolamento (CE) n. 1370/2007,
32008E0124,http://publications.europa.eu/resource/authority/legal-basis/32008E0124,false,2008-02-04,32008E0124,Council Joint Action 2008/124/CFSP,Azione comune 2008/124/PESC del Consiglio,
32008R1008,http://publications.europa.eu/resource/authority/legal-basis/32008R1008,false,2008-11-01,32008R1008,Regulation (EC) No 1008/2008,Regolamento (CE) n. 1008/2008,
32009L0081,http://publications.europa.eu/resource/authority/legal-basis/32009L0081,false,2009-08-21,32009L0081,Directive 2009/81/EC,Direttiva 2009/81/CE,
32012R0966,http://publications.europa.eu/resource/authority/legal-basis/32012R0966,true,2012-10-27,32012R0966,"Regulation (EU, Euratom) No 966/2012","Regolamento (UE, Euratom) n. 966/2012",2019-01-07
32012R1268,http://publications.europa.eu/resource/authority/legal-basis/32012R1268,true,2013-01-01,32012R1268,Delegated Regulation (EU) No 1268/2012,Regolamento delegato (UE) n. 1268/2012,2019-01-07
32013L0016,http://publications.europa.eu/resource/authority/legal-basis/32013L0016,false,2013-07-01,32013L0016,Directive 2013/16/EU,Direttiva 2013/16/UE,
32014D0115,http://publications.europa.eu/resource/authority/legal-basis/32014D0115,false,2013-12-02,32014D0115,Decision 2014/115/EU,Decisione 2014/115/UE,
32014D0486,http://publications.europa.eu/resource/authority/legal-basis/32014D0486,false,2014-07-22,32014D0486,Decision 2014/486/CFSP,Decisione 2014/486/PESC,
32014D0691,http://publications.europa.eu/resource/authority/legal-basis/32014D0691,false,2014-09-29,32014D0691,Decision 2014/691/EU,Decisione 2014/691/UE,
32014L0023,http://publications.europa.eu/resource/authority/legal-basis/32014L0023,false,2014-04-17,32014L0023,Directive 2014/23/EU,Direttiva 2014/23/UE,
32014L0024,http://publications.europa.eu/resource/authority/legal-basis/32014L0024,false,2014-04-17,32014L0024,Directive 2014/24/EU,Direttiva 2014/24/UE,
32014L0025,http://publications.europa.eu/resource/authority/legal-basis/32014L0025,false,2014-04-17,32014L0025,Directive 2014/25/EU,Direttiva 2014/25/UE,
