# Serializing assets/vocabularies/licences/latest/licences.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/licence
# title: Licence
# version: 20210929-0
# description: Licence
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
0BSD,http://publications.europa.eu/resource/authority/licence/0BSD,false,2006-07-01,0BSD,Zero-Clause BSD / Free Public License 1.0.0 (0BSD),,
AGPL_3_0,http://publications.europa.eu/resource/authority/licence/AGPL_3_0,false,2007-11-19,AGPL_3_0,GNU Affero General Public License version 3,,
APACHE_1_1,http://publications.europa.eu/resource/authority/licence/APACHE_1_1,true,2000-01-01,APACHE_1_1,"Apache Software License, version 1.1 (Apache-1.1)",2004-01-01,
APACHE_2_0,http://publications.europa.eu/resource/authority/licence/APACHE_2_0,false,2004-01-02,APACHE_2_0,"Apache License, Version 2.0",,
APL_1_0,http://publications.europa.eu/resource/authority/licence/APL_1_0,false,2003-07-01,APL_1_0,Adaptive Public License 1.0,,
APSL_2_0,http://publications.europa.eu/resource/authority/licence/APSL_2_0,false,2003-08-06,APSL_2_0,Apple Public Source License 2.0,,
ARTISTIC_1_0,http://publications.europa.eu/resource/authority/licence/ARTISTIC_1_0,true,1997-08-15,ARTISTIC_1_0,Artistic License 1.0 (Artistic-1.0),2000-06-30,
ARTISTIC_2_0,http://publications.europa.eu/resource/authority/licence/ARTISTIC_2_0,false,2000-07-01,ARTISTIC_2_0,Artistic License 2.0,,
BSD_2_CLAUSE,http://publications.europa.eu/resource/authority/licence/BSD_2_CLAUSE,false,1999-04-01,BSD_2_CLAUSE,2-Clause BSD License,,
BSD_3_CLAUSE,http://publications.europa.eu/resource/authority/licence/BSD_3_CLAUSE,false,1999-07-22,BSD_3_CLAUSE,3-Clause BSD License,,
BSD_3_CLAUSE_LBNL,http://publications.europa.eu/resource/authority/licence/BSD_3_CLAUSE_LBNL,false,2002-07-01,BSD_3_CLAUSE_LBNL,Lawrence Berkeley National Labs BSD Variant License (BSD-3-Clause-LBNL),,
BSD_PLUS_PATENT,http://publications.europa.eu/resource/authority/licence/BSD_PLUS_PATENT,false,2017-07-01,BSD_PLUS_PATENT,BSD+Patent,,
BSL_1_0,http://publications.europa.eu/resource/authority/licence/BSL_1_0,false,2003-08-17,BSL_1_0,Boost Software License 1.0,,
CATOSL_1_1,http://publications.europa.eu/resource/authority/licence/CATOSL_1_1,false,2004-07-31,CATOSL_1_1,Computer Associates Trusted Open Source License 1.1 (CATOSL-1.1),,
CC0,http://publications.europa.eu/resource/authority/licence/CC0,false,2009-03-11,CC0,Creative Commons CC0 1.0 Universal,,Creative Commons CC0 1.0 Universal
CC_BY,http://publications.europa.eu/resource/authority/licence/CC_BY,true,2013-11-25,CC_BY,Creative Commons Attribution 4.0 International,2013-11-26,Creative Commons Attribuzione 4.0 Internazionale
CC_BYNC,http://publications.europa.eu/resource/authority/licence/CC_BYNC,true,2013-11-25,CC_BYNC,Creative Commons Attribution–NonCommercial 4.0 International,2013-11-26,Creative Commons Attribuzione – Non commerciale 4.0 Internazionale
CC_BYNCND,http://publications.europa.eu/resource/authority/licence/CC_BYNCND,true,2013-11-25,CC_BYNCND,Creative Commons Attribution–NonCommercial–NoDerivatives 4.0 International,2013-11-26,Creative Commons Attribuzione – Non commerciale – Non opere derivate 4.0 Internazionale
CC_BYNCND_1_0,http://publications.europa.eu/resource/authority/licence/CC_BYNCND_1_0,true,2002-12-15,CC_BYNCND_1_0,Creative Commons Attribution–NoDerivs–NonCommercial 1.0 Generic,2004-05-24,Creative Commons Attribuzione – Non opere derivate – Non commerciale 1.0 Generico
CC_BYNCND_2_0,http://publications.europa.eu/resource/authority/licence/CC_BYNCND_2_0,false,2004-05-25,CC_BYNCND_2_0,Creative Commons Attribution–NonCommercial–NoDerivs 2.0 Generic,,Creative Commons Attribuzione – Non commerciale – Non opere derivate 2.0 Generico
CC_BYNCND_2_5,http://publications.europa.eu/resource/authority/licence/CC_BYNCND_2_5,false,2005-06-01,CC_BYNCND_2_5,Creative Commons Attribution–NonCommercial–NoDerivs 2.5 Generic,,Creative Commons Attribuzione – Non commerciale – Non opere derivate 2.5 Generico
CC_BYNCND_3_0,http://publications.europa.eu/resource/authority/licence/CC_BYNCND_3_0,false,2007-02-23,CC_BYNCND_3_0,Creative Commons Attribution–NonCommercial–NoDerivs 3.0 Unported,,Creative Commons Attribuzione – Non commerciale – Non opere derivate 3.0 Unported
CC_BYNCND_4_0,http://publications.europa.eu/resource/authority/licence/CC_BYNCND_4_0,false,2013-11-26,CC_BYNCND_4_0,Creative Commons Attribution–NonCommercial–NoDerivatives 4.0 International,,Creative Commons Attribuzione – Non commerciale – Non opere derivate 4.0 Internazionale
CC_BYNCSA,http://publications.europa.eu/resource/authority/licence/CC_BYNCSA,true,2013-11-25,CC_BYNCSA,Creative Commons Attribution–NonCommercial–ShareAlike 4.0 International,2013-11-26,Creative Commons Attribuzione – Non commerciale – Condividi allo stesso modo 4.0 Internazionale
CC_BYNCSA_1_0,http://publications.europa.eu/resource/authority/licence/CC_BYNCSA_1_0,true,2002-12-15,CC_BYNCSA_1_0,Creative Commons Attribution–NonCommercial–ShareAlike 1.0 Generic,2004-05-24,Creative Commons Attribuzione – Non commerciale – Condividi allo stesso modo 1.0 Generico
CC_BYNCSA_2_0,http://publications.europa.eu/resource/authority/licence/CC_BYNCSA_2_0,false,2004-05-25,CC_BYNCSA_2_0,Creative Commons Attribution–NonCommercial–ShareAlike 2.0 Generic,,Creative Commons Attribuzione – Non commerciale – Condividi allo stesso modo 2.0 Generico
CC_BYNCSA_2_5,http://publications.europa.eu/resource/authority/licence/CC_BYNCSA_2_5,false,2005-06-01,CC_BYNCSA_2_5,Creative Commons Attribution–NonCommercial–ShareAlike 2.5 Generic,,Creative Commons Attribuzione – Non commerciale – Condividi allo stesso modo 2.5 Generico
