# Serializing assets/vocabularies/organisation-role/latest/organisation-role.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/organisation-role
# title: Organisation role
# version: 20210616-0
# description: Organisation role
key,url,country_code,label_en,label_it,deprecated,valid_from
OP_DATPRO,http://publications.europa.eu/resource/authority/organisation-role/OP_DATPRO,OP_DATPRO,Provisional data,Dati provvisori,,
ben-own,http://publications.europa.eu/resource/authority/organisation-role/ben-own,ben-own,Beneficial owner,Titolare effettivo,false,2019-09-18
buyer,http://publications.europa.eu/resource/authority/organisation-role/buyer,buyer,Buyer,Committente,false,2019-09-18
cpb-acq,http://publications.europa.eu/resource/authority/organisation-role/cpb-acq,cpb-acq,Central purchasing body acquiring supplies and/or services intended for other buyers,Centrale di committenza per l'acquisizione di forniture e/o servizi destinati ad altri committenti,false,2019-09-18
cpb-awa,http://publications.europa.eu/resource/authority/organisation-role/cpb-awa,cpb-awa,"Central purchasing body awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers","Centrale di committenza per l'aggiudicazione di appalti o la conclusione di accordi quadro per lavori, forniture o servizi destinati ad altri committenti",false,2019-09-18
info-emp,http://publications.europa.eu/resource/authority/organisation-role/info-emp,info-emp,Organisation providing information concerning the general regulatory framework for employment protection and working conditions applicable in the place where the contract is to be performed,Organizzazione presso la quale possono essere richieste informazioni sul quadro normativo generale vigente in materia di tutela dei lavoratori e condizioni di lavoro nel luogo in cui l'appalto deve essere eseguito,false,2019-09-18
info-envir,http://publications.europa.eu/resource/authority/organisation-role/info-envir,info-envir,Organisation providing information concerning the general regulatory framework for environmental protection applicable in the place where the contract is to be performed,Organizzazione presso la quale possono essere richieste informazioni sul quadro normativo generale vigente in materia di protezione dell'ambiente nel luogo in cui l'appalto deve essere eseguito,false,2019-09-18
info-tax,http://publications.europa.eu/resource/authority/organisation-role/info-tax,info-tax,Organisation providing information concerning the general regulatory framework for taxes applicable in the place where the contract is to be performed,Organizzazione presso la quale possono essere richieste informazioni sul quadro normativo generale vigente in materia di fiscalità nel luogo in cui l'appalto deve essere eseguito,false,2019-09-18
mediator,http://publications.europa.eu/resource/authority/organisation-role/mediator,mediator,Mediation organisation,Organizzazione di mediazione,false,2019-09-18
rev-req,http://publications.europa.eu/resource/authority/organisation-role/rev-req,rev-req,Organisation (or person) requesting review that has or has had an interest in a contract and who has been or risks being harmed by an alleged infringement,"Organizzazione (o persona) che presenta ricorso, che abbia o abbia avuto interesse a ottenere l'aggiudicazione di un appalto e sia stata o rischi di essere lesa a causa di una presunta violazione",false,2020-12-16
reviewer,http://publications.europa.eu/resource/authority/organisation-role/reviewer,reviewer,Review organisation,Organizzazione competente per i ricorsi,false,2019-09-18
serv-prov,http://publications.europa.eu/resource/authority/organisation-role/serv-prov,serv-prov,Procurement service provider,Prestatore di servizi in materia di appalti,false,2019-09-18
subcont,http://publications.europa.eu/resource/authority/organisation-role/subcont,subcont,Subcontractor,Subappaltatore,false,2019-09-18
ted-esen,http://publications.europa.eu/resource/authority/organisation-role/ted-esen,ted-esen,TED eSender,TED eSender,false,2020-03-18
tenderer,http://publications.europa.eu/resource/authority/organisation-role/tenderer,tenderer,Tenderer,Offerente,false,2020-03-18
winner,http://publications.europa.eu/resource/authority/organisation-role/winner,winner,Winner,Vincitore,false,2019-09-18
