# Serializing assets/vocabularies/places/latest/places.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/place
# title: Place
# version: 20210929-0
# description: Place
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
1A0_PRN,http://publications.europa.eu/resource/authority/place/1A0_PRN,false,1951-01-01,1A0_PRN,Pristina,Priština,
ABW_ORJ,http://publications.europa.eu/resource/authority/place/ABW_ORJ,false,1951-01-01,ABW_ORJ,Oranjestad,Oranjestad,
AFG_KBL,http://publications.europa.eu/resource/authority/place/AFG_KBL,false,1951-01-01,AFG_KBL,Kabul,Kabul,
AGO_LAD,http://publications.europa.eu/resource/authority/place/AGO_LAD,false,1951-01-01,AGO_LAD,Luanda,Luanda,
AIA_VAL,http://publications.europa.eu/resource/authority/place/AIA_VAL,false,1951-01-01,AIA_VAL,The Valley,The Valley,
ALB_TIA,http://publications.europa.eu/resource/authority/place/ALB_TIA,false,1951-01-01,ALB_TIA,Tirana,Tirana,
AND_ALV,http://publications.europa.eu/resource/authority/place/AND_ALV,false,1951-01-01,AND_ALV,Andorra la Vella,Andorra la Vella,
ARE_AUH,http://publications.europa.eu/resource/authority/place/ARE_AUH,false,1951-01-01,ARE_AUH,Abu Dhabi,Abu Dhabi,
ARE_DXB,http://publications.europa.eu/resource/authority/place/ARE_DXB,false,1951-01-01,ARE_DXB,Dubai,,
ARG_BHI,http://publications.europa.eu/resource/authority/place/ARG_BHI,false,1951-01-01,ARG_BHI,Bahía Blanca,,
ARG_BUE,http://publications.europa.eu/resource/authority/place/ARG_BUE,false,1951-01-01,ARG_BUE,Buenos Aires,Buenos Aires,
ARG_COR,http://publications.europa.eu/resource/authority/place/ARG_COR,false,1951-01-01,ARG_COR,Córdoba,,
ARG_MDQ,http://publications.europa.eu/resource/authority/place/ARG_MDQ,false,1951-01-01,ARG_MDQ,Mar del Plata,,
ARG_MDZ,http://publications.europa.eu/resource/authority/place/ARG_MDZ,false,1951-01-01,ARG_MDZ,Mendoza,,
ARG_ROS,http://publications.europa.eu/resource/authority/place/ARG_ROS,false,1951-01-01,ARG_ROS,Rosario,,
ARM_EVN,http://publications.europa.eu/resource/authority/place/ARM_EVN,false,1951-01-01,ARM_EVN,Yerevan,Erevan,
ASM_PPG,http://publications.europa.eu/resource/authority/place/ASM_PPG,false,1951-01-01,ASM_PPG,Pago Pago,Pago Pago,
ATG_SJO,http://publications.europa.eu/resource/authority/place/ATG_SJO,false,1951-01-01,ATG_SJO,St John’s,Saint John’s,
AUS_ADL,http://publications.europa.eu/resource/authority/place/AUS_ADL,false,1951-01-01,AUS_ADL,Adelaide,Adelaide,
AUS_ASP,http://publications.europa.eu/resource/authority/place/AUS_ASP,false,1951-01-01,AUS_ASP,Alice Springs,Alice Springs,
AUS_BNE,http://publications.europa.eu/resource/authority/place/AUS_BNE,false,1951-01-01,AUS_BNE,Brisbane,,
AUS_CBR,http://publications.europa.eu/resource/authority/place/AUS_CBR,false,1951-01-01,AUS_CBR,Canberra,Canberra,
AUS_CNS,http://publications.europa.eu/resource/authority/place/AUS_CNS,false,1951-01-01,AUS_CNS,Cairns,,
AUS_DRW,http://publications.europa.eu/resource/authority/place/AUS_DRW,false,1951-01-01,AUS_DRW,Darwin,,
AUS_HBA,http://publications.europa.eu/resource/authority/place/AUS_HBA,false,1951-01-01,AUS_HBA,Hobart,,
AUS_MEL,http://publications.europa.eu/resource/authority/place/AUS_MEL,false,1951-01-01,AUS_MEL,Melbourne,,
AUS_MKY,http://publications.europa.eu/resource/authority/place/AUS_MKY,false,1951-01-01,AUS_MKY,Mackay,,
AUS_PER,http://publications.europa.eu/resource/authority/place/AUS_PER,false,1951-01-01,AUS_PER,Perth,,
AUS_SYD,http://publications.europa.eu/resource/authority/place/AUS_SYD,false,1951-01-01,AUS_SYD,Sydney,,
AUS_TSV,http://publications.europa.eu/resource/authority/place/AUS_TSV,false,1951-01-01,AUS_TSV,Townsville,,
AUS_YRL,http://publications.europa.eu/resource/authority/place/AUS_YRL,false,1951-01-01,AUS_YRL,Yarralumla,,
AUT_ATT,http://publications.europa.eu/resource/authority/place/AUT_ATT,false,1951-01-01,AUT_ATT,Amstetten,Amstetten,
