# Serializing assets/vocabularies/procurement-procedure-type/latest/procurement-procedure-type.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/procurement-procedure-type
# title: Procurement procedure type
# version: 20210929-0
# description: Procurement procedure type
key,url,country_code,label_en,label_it,deprecated,valid_from
OP_DATPRO,http://publications.europa.eu/resource/authority/procurement-procedure-type/OP_DATPRO,OP_DATPRO,Provisional data,Dati provvisori,,
comp-dial,http://publications.europa.eu/resource/authority/procurement-procedure-type/comp-dial,comp-dial,Competitive dialogue,Dialogo competitivo,false,2019-09-18
comp-tend,http://publications.europa.eu/resource/authority/procurement-procedure-type/comp-tend,comp-tend,Competitive tendering,Procedura di gara,false,2021-06-16
innovation,http://publications.europa.eu/resource/authority/procurement-procedure-type/innovation,innovation,Innovation partnership,Partenariato per l'innovazione,false,2019-09-18
neg-w-call,http://publications.europa.eu/resource/authority/procurement-procedure-type/neg-w-call,neg-w-call,Negotiated with prior publication of a call for competition / competitive with negotiation,Negoziata con previa indizione di gara / competitiva con negoziazione,false,2019-09-18
neg-wo-call,http://publications.europa.eu/resource/authority/procurement-procedure-type/neg-wo-call,neg-wo-call,Negotiated without prior call for competition,Negoziata senza previa indizione di gara,false,2019-09-18
open,http://publications.europa.eu/resource/authority/procurement-procedure-type/open,open,Open,Aperta,false,2019-09-18
oth-mult,http://publications.europa.eu/resource/authority/procurement-procedure-type/oth-mult,oth-mult,Other multiple stage procedure,Altra procedura a più fasi,false,2019-09-18
oth-single,http://publications.europa.eu/resource/authority/procurement-procedure-type/oth-single,oth-single,Other single stage procedure,Altra procedura a fase unica,false,2019-09-18
restricted,http://publications.europa.eu/resource/authority/procurement-procedure-type/restricted,restricted,Restricted,Ristretta,false,2019-09-18
