# Serializing assets/vocabularies/resourcetypes/latest/resourcetypes.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/resource-type
# title: Resource type
# version: 20210929-0
# description: Resource type
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
ABSTRACT_JUR,http://publications.europa.eu/resource/authority/resource-type/ABSTRACT_JUR,false,1994-01-01,ABSTRACT_JUR,Abstract,Sunto,
ACKNOWLEDGE_RECP,http://publications.europa.eu/resource/authority/resource-type/ACKNOWLEDGE_RECP,false,1952-07-24,ACKNOWLEDGE_RECP,Acknowledgement receipt,Ricevuta di ritorno,
ACT,http://publications.europa.eu/resource/authority/resource-type/ACT,false,1952-07-24,ACT,Act,Atto,
ACTION_DOC,http://publications.europa.eu/resource/authority/resource-type/ACTION_DOC,false,2015-01-01,ACTION_DOC,Action document,Documento d’azione,
ACTS_ADOPT,http://publications.europa.eu/resource/authority/resource-type/ACTS_ADOPT,false,2013-07-12,ACTS_ADOPT,Adopted acts,Atti adottati,
ACTS_LEGIS_INSTRUMENTS,http://publications.europa.eu/resource/authority/resource-type/ACTS_LEGIS_INSTRUMENTS,false,2021-06-16,ACTS_LEGIS_INSTRUMENTS,Legislative acts and other instruments,Atti legislativi e altri strumenti,
ACT_ADOPT_INTERNATION,http://publications.europa.eu/resource/authority/resource-type/ACT_ADOPT_INTERNATION,false,1952-07-24,ACT_ADOPT_INTERNATION,Acts adopted by bodies created by international agreements,Atti adottati da organismi creati da accordi internazionali,
ACT_DEL,http://publications.europa.eu/resource/authority/resource-type/ACT_DEL,false,2009-12-01,ACT_DEL,Delegated act,Atto delegato,
ACT_DEL_DRAFT,http://publications.europa.eu/resource/authority/resource-type/ACT_DEL_DRAFT,false,2009-12-01,ACT_DEL_DRAFT,Draft delegated act,Progetto di atto delegato,
ACT_DRAFT,http://publications.europa.eu/resource/authority/resource-type/ACT_DRAFT,false,1952-07-24,ACT_DRAFT,Draft act,Progetto di atto,
ACT_IMPL_DRAFT,http://publications.europa.eu/resource/authority/resource-type/ACT_IMPL_DRAFT,false,2009-12-01,ACT_IMPL_DRAFT,Draft implementing act,Progetto di atto di esecuzione,
ACT_LEGIS,http://publications.europa.eu/resource/authority/resource-type/ACT_LEGIS,false,1952-07-24,ACT_LEGIS,Legislative acts,Atti legislativi,
ACT_LEGIS_NO,http://publications.europa.eu/resource/authority/resource-type/ACT_LEGIS_NO,false,1952-07-24,ACT_LEGIS_NO,Non-legislative acts,Atti non legislativi,
