# Serializing assets/vocabularies/roles/latest/roles.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/role
# title: Role
# version: 20210929-0
# description: Role
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
ADDRESSEE,http://publications.europa.eu/resource/authority/role/ADDRESSEE,false,1952-07-24,ADDRESSEE,Addressee,Destinatario,
ADDRESSEE_ACT,http://publications.europa.eu/resource/authority/role/ADDRESSEE_ACT,false,1952-07-24,ADDRESSEE_ACT,Addressee for formal act,Destinatario di atto ufficiale,
ADDRESSEE_CONSULT,http://publications.europa.eu/resource/authority/role/ADDRESSEE_CONSULT,false,1952-07-24,ADDRESSEE_CONSULT,Addressee for consultation,Destinatario di consultazione,
ADDRESSEE_CONSULT_MANDATORY,http://publications.europa.eu/resource/authority/role/ADDRESSEE_CONSULT_MANDATORY,false,1952-07-24,ADDRESSEE_CONSULT_MANDATORY,Addressee for mandatory consultation,Destinatario di consultazione obbligatoria,
ADDRESSEE_CONSULT_OPTION,http://publications.europa.eu/resource/authority/role/ADDRESSEE_CONSULT_OPTION,false,1952-07-24,ADDRESSEE_CONSULT_OPTION,Addressee for optional consultation,Destinatario di consultazione facoltativa,
ADDRESSEE_INFO,http://publications.europa.eu/resource/authority/role/ADDRESSEE_INFO,false,1952-07-24,ADDRESSEE_INFO,Addressee for information,Destinatario a titolo informativo,
ADDRESSEE_MANDATORY,http://publications.europa.eu/resource/authority/role/ADDRESSEE_MANDATORY,false,2016-06-10,ADDRESSEE_MANDATORY,Mandatory addressee,Destinatario obbligatorio,
ADVOC,http://publications.europa.eu/resource/authority/role/ADVOC,false,1952-07-24,ADVOC,Advocate,Avvocato,
ADVOC_G,http://publications.europa.eu/resource/authority/role/ADVOC_G,false,1952-07-24,ADVOC_G,Advocate-General,Avvocato generale,
ALLY,http://publications.europa.eu/resource/authority/role/ALLY,false,2021-09-29,ALLY,Ally,Apparentato,
ASSOC_CORP,http://publications.europa.eu/resource/authority/role/ASSOC_CORP,false,1952-07-24,ASSOC_CORP,Associated service,Servizio associato,
ASSOC_JUDGE,http://publications.europa.eu/resource/authority/role/ASSOC_JUDGE,false,1952-07-24,ASSOC_JUDGE,Associate judge,Giudice assessore,
AUT,http://publications.europa.eu/resource/authority/role/AUT,false,1952-07-24,AUT,Author,Autore,
AUTHORI,http://publications.europa.eu/resource/authority/role/AUTHORI,false,1952-07-24,AUTHORI,Authorising entity,Entità preposta all’autorizzazione,
AUT_OPIN,http://publications.europa.eu/resource/authority/role/AUT_OPIN,false,1952-07-24,AUT_OPIN,Author of opinion,Autore del parere,
AUT_REPORT,http://publications.europa.eu/resource/authority/role/AUT_REPORT,false,1952-07-24,AUT_REPORT,Author of report,Autore della relazione,
CHAIR,http://publications.europa.eu/resource/authority/role/CHAIR,false,1952-07-24,CHAIR,Chairman,Presidente,
CHAIR_BUREAU,http://publications.europa.eu/resource/authority/role/CHAIR_BUREAU,false,1962-03-30,CHAIR_BUREAU,Chair of the Bureau,Presidente dell'ufficio di presidenza,
CHAIR_CMT,http://publications.europa.eu/resource/authority/role/CHAIR_CMT,false,1952-07-24,CHAIR_CMT,Committee Chair,Presidenti de commissione,
CHAIR_CO,http://publications.europa.eu/resource/authority/role/CHAIR_CO,false,1952-07-24,CHAIR_CO,Co-Chair,Copresidente,
CHAIR_DEP,http://publications.europa.eu/resource/authority/role/CHAIR_DEP,false,1952-07-24,CHAIR_DEP,Deputy Chair,Vicepresidente,
CHAIR_VICE,http://publications.europa.eu/resource/authority/role/CHAIR_VICE,false,1952-07-24,CHAIR_VICE,Vice-Chairman,Vicepresidente,
CHAIR_VICE_FIRST,http://publications.europa.eu/resource/authority/role/CHAIR_VICE_FIRST,false,2021-09-29,CHAIR_VICE_FIRST,First Vice-Chair,primo vicepresidente,
CHAIR_VICE_FIRST_MEM_BU,http://publications.europa.eu/resource/authority/role/CHAIR_VICE_FIRST_MEM_BU,false,2021-09-29,CHAIR_VICE_FIRST_MEM_BU,First Vice-Chair/Member of the Bureau,Primo vicepresidente/Membro dell’ufficio di presidenza,
CHAIR_VICE_MEM_BU,http://publications.europa.eu/resource/authority/role/CHAIR_VICE_MEM_BU,false,1962-03-30,CHAIR_VICE_MEM_BU,Vice-Chair/Member of the Bureau,Vicepresidente/Membro dell’ufficio di presidenza,
CMT_OPIN,http://publications.europa.eu/resource/authority/role/CMT_OPIN,false,1952-07-24,CMT_OPIN,Parliamentary committee for opinion,Commissione parlamentare competente per parere,
CMT_OPIN_ASSOC,http://publications.europa.eu/resource/authority/role/CMT_OPIN_ASSOC,false,1952-07-24,CMT_OPIN_ASSOC,Associated parliamentary committee for opinion,,
CMT_RESP,http://publications.europa.eu/resource/authority/role/CMT_RESP,false,1952-07-24,CMT_RESP,Parliamentary committee responsible,Commissione parlamentare competente per il merito,
COLLECTOR,http://publications.europa.eu/resource/authority/role/COLLECTOR,false,2018-06-11,COLLECTOR,Collector,Raccoglitore,
COMPILER,http://publications.europa.eu/resource/authority/role/COMPILER,false,1952-07-24,COMPILER,Compilator,Compilatore,
CONTRIB,http://publications.europa.eu/resource/authority/role/CONTRIB,false,1952-07-24,CONTRIB,Contributor,Contributore,
DEPOSITOR,http://publications.europa.eu/resource/authority/role/DEPOSITOR,false,2021-09-29,DEPOSITOR,Depositor,Depositante,
DEPOSITORY,http://publications.europa.eu/resource/authority/role/DEPOSITORY,false,2021-09-29,DEPOSITORY,Depository,Depositario,
DIR_COM_REGISTRY,http://publications.europa.eu/resource/authority/role/DIR_COM_REGISTRY,false,2020-10-21,DIR_COM_REGISTRY,Director of the Registry,Direttore della cancelleria,
DIR_EXEC,http://publications.europa.eu/resource/authority/role/DIR_EXEC,false,1952-07-24,DIR_EXEC,Executive Director,Direttore esecutivo,
DIR_GEN,http://publications.europa.eu/resource/authority/role/DIR_GEN,false,1952-07-24,DIR_GEN,Director-General,Direttore generale,
EDITOR,http://publications.europa.eu/resource/authority/role/EDITOR,false,1952-07-24,EDITOR,Editor,Redattore,
EMP_OFF_DIR_REGISTRY,http://publications.europa.eu/resource/authority/role/EMP_OFF_DIR_REGISTRY,false,2020-10-21,EMP_OFF_DIR_REGISTRY,Registry official empowered to sign on behalf of the Director of the Registry,Funzionario della cancelleria abilitato a firmare per conto del direttore della cancelleria,
EU_ATC,http://publications.europa.eu/resource/authority/role/EU_ATC,false,2011-04-05,EU_ATC,EU Anti-Trafficking Coordinator,Coordinatore anti-tratta dell’UE,
FORM_COURT,http://publications.europa.eu/resource/authority/role/FORM_COURT,false,1952-07-24,FORM_COURT,Formation of the Court,Collegio giudicante,
HEAR_OFF,http://publications.europa.eu/resource/authority/role/HEAR_OFF,false,1990-01-01,HEAR_OFF,Hearing officer,Consigliere-auditore,
ILLUSTR,http://publications.europa.eu/resource/authority/role/ILLUSTR,false,2009-12-01,ILLUSTR,Illustrator,Illustratore,
INTERV,http://publications.europa.eu/resource/authority/role/INTERV,false,1952-07-24,INTERV,Intervener,Interveniente,
JUDGE,http://publications.europa.eu/resource/authority/role/JUDGE,false,1952-07-24,JUDGE,Judge,Giudice,
JUDGE_RAPP,http://publications.europa.eu/resource/authority/role/JUDGE_RAPP,false,1952-07-24,JUDGE_RAPP,Judge-Rapporteur,Giudice relatore,
LEAD_CORP,http://publications.europa.eu/resource/authority/role/LEAD_CORP,false,1952-07-24,LEAD_CORP,Leading service,Servizio capofila,
LEAD_JOINT_CORP,http://publications.europa.eu/resource/authority/role/LEAD_JOINT_CORP,false,1952-07-24,LEAD_JOINT_CORP,Joint leading service,Servizio corresponsabile,
LEAD_JOINT_PERS,http://publications.europa.eu/resource/authority/role/LEAD_JOINT_PERS,false,1952-07-24,LEAD_JOINT_PERS,Joint leading person,Persona corresponsabile,
LEAD_PERS,http://publications.europa.eu/resource/authority/role/LEAD_PERS,false,1952-07-24,LEAD_PERS,Leading person,Persona responsabile,
MEDIATOR,http://publications.europa.eu/resource/authority/role/MEDIATOR,false,1952-07-24,MEDIATOR,Mediator,Mediatore,
MEMBER,http://publications.europa.eu/resource/authority/role/MEMBER,false,1952-07-24,MEMBER,Member,Membro,
MEMBER_ALT,http://publications.europa.eu/resource/authority/role/MEMBER_ALT,false,1952-07-24,MEMBER_ALT,Alternate member,Membro supplente,
MEMBER_BUREAU,http://publications.europa.eu/resource/authority/role/MEMBER_BUREAU,false,1962-03-30,MEMBER_BUREAU,Member of the Bureau,Membro dell’ufficio di presidenza,
MEMBER_COM,http://publications.europa.eu/resource/authority/role/MEMBER_COM,false,1965-04-08,MEMBER_COM,Member of the Commission,Membro della Commissione,
MEMBER_EP,http://publications.europa.eu/resource/authority/role/MEMBER_EP,false,1952-07-24,MEMBER_EP,Member of Parliament,Eurodeputato,
MEMBER_REPORT,http://publications.europa.eu/resource/authority/role/MEMBER_REPORT,false,1992-02-07,MEMBER_REPORT,Reporting Member,Membro relatore,
MEMB_BUREAU_ENLARG,http://publications.europa.eu/resource/authority/role/MEMB_BUREAU_ENLARG,false,1962-03-30,MEMB_BUREAU_ENLARG,Member of the enlarged Bureau,Membro dell’Ufficio di presidenza ampliato,
OBSERVER,http://publications.europa.eu/resource/authority/role/OBSERVER,false,2021-09-29,OBSERVER,Observer,Osservatore,
OBSERVER_SUBST,http://publications.europa.eu/resource/authority/role/OBSERVER_SUBST,false,2021-09-29,OBSERVER_SUBST,Substitute observer,Osservatore sostituto,
OMBUDSMAN,http://publications.europa.eu/resource/authority/role/OMBUDSMAN,false,1995-07-12,OMBUDSMAN,European Ombudsman,Mediatore europeo,
OPERATOR,http://publications.europa.eu/resource/authority/role/OPERATOR,false,2018-06-11,OPERATOR,Operator,Operatore,
PRESID,http://publications.europa.eu/resource/authority/role/PRESID,false,1952-07-24,PRESID,President,Presidente,
PRESID_ACTING,http://publications.europa.eu/resource/authority/role/PRESID_ACTING,false,1952-07-24,PRESID_ACTING,Acting President,Presidente ad interim,
PRESID_CHAMB,http://publications.europa.eu/resource/authority/role/PRESID_CHAMB,false,1952-07-24,PRESID_CHAMB,President of the Chamber,Presidente di sezione,
PRESID_CMT,http://publications.europa.eu/resource/authority/role/PRESID_CMT,false,1952-07-24,PRESID_CMT,President of the Committee,Presidente del Comitato,
PRESID_CO,http://publications.europa.eu/resource/authority/role/PRESID_CO,false,1952-07-24,PRESID_CO,Co-President,Copresidente,
PRESID_COM,http://publications.europa.eu/resource/authority/role/PRESID_COM,false,1965-04-08,PRESID_COM,President of the European Commission,Presidente della Commissione europea,
PRESID_CONSIL,http://publications.europa.eu/resource/authority/role/PRESID_CONSIL,false,1952-07-24,PRESID_CONSIL,President of the Council,Presidente del Consiglio,
PRESID_COR,http://publications.europa.eu/resource/authority/role/PRESID_COR,false,1992-02-07,PRESID_COR,President of the Committee of the Regions,Presidente del Comitato delle regioni,
PRESID_CURIA,http://publications.europa.eu/resource/authority/role/PRESID_CURIA,false,1952-07-24,PRESID_CURIA,President of the Court of Justice,Presidente della Corte di giustizia,
PRESID_ECA,http://publications.europa.eu/resource/authority/role/PRESID_ECA,false,1992-02-07,PRESID_ECA,President of the Court of Auditors,Presidente della Corte dei conti,
