# Serializing assets/vocabularies/rolesqualifier/latest/rolesqualifier.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/role-qualifier
# title: Role qualifier
# version: 20210929-0
# description: Role qualifier
key,url,deprecated,valid_from,country_code,label_en,label_it
ADMN,http://publications.europa.eu/resource/authority/role-qualifier/ADMN,false,1952-07-24,ADMN,Administrator,Amministratore
ADVIS,http://publications.europa.eu/resource/authority/role-qualifier/ADVIS,false,1952-07-24,ADVIS,Adviser,Consigliere
ADVIS_CHIEF,http://publications.europa.eu/resource/authority/role-qualifier/ADVIS_CHIEF,false,1952-07-24,ADVIS_CHIEF,Chief Adviser,Consigliere principale
ADVIS_COMMU,http://publications.europa.eu/resource/authority/role-qualifier/ADVIS_COMMU,false,2021-03-17,ADVIS_COMMU,Communication Adviser,Consigliere per la comunicazione
ADVIS_COMMU_WRITER_SPEECH_PRESID,http://publications.europa.eu/resource/authority/role-qualifier/ADVIS_COMMU_WRITER_SPEECH_PRESID,false,2021-09-29,ADVIS_COMMU_WRITER_SPEECH_PRESID,Communication Adviser and Speechwriter for the President,
ADVIS_HORS_CLASS,http://publications.europa.eu/resource/authority/role-qualifier/ADVIS_HORS_CLASS,false,2011-08-31,ADVIS_HORS_CLASS,Hors Classe Adviser,Consigliere fuori classe
ADVIS_PRIN,http://publications.europa.eu/resource/authority/role-qualifier/ADVIS_PRIN,false,2021-03-17,ADVIS_PRIN,Principal Adviser,Consulente principale
ADVIS_SENIOR,http://publications.europa.eu/resource/authority/role-qualifier/ADVIS_SENIOR,false,2015-06-24,ADVIS_SENIOR,Senior Adviser,Consigliere principale
AG_LOG,http://publications.europa.eu/resource/authority/role-qualifier/AG_LOG,false,2021-03-17,AG_LOG,Logistic Agent,Agente logistico
AG_LOG_SUPP,http://publications.europa.eu/resource/authority/role-qualifier/AG_LOG_SUPP,false,2021-03-17,AG_LOG_SUPP,Logistic Support Agent,Agente di supporto logistico
AMB,http://publications.europa.eu/resource/authority/role-qualifier/AMB,false,1952-07-24,AMB,Ambassador,Ambasciatore
AMB_FIRST_SECR,http://publications.europa.eu/resource/authority/role-qualifier/AMB_FIRST_SECR,false,1952-07-24,AMB_FIRST_SECR,First Secretary to the Ambassador,Primo segretario d’ambasciata
ASSIST,http://publications.europa.eu/resource/authority/role-qualifier/ASSIST,false,1952-07-24,ASSIST,Assistant,Assistente
AST_ADMIN,http://publications.europa.eu/resource/authority/role-qualifier/AST_ADMIN,false,2004-08-12,AST_ADMIN,Administrative Assistant,Assistente amministrativo
