# Serializing assets/vocabularies/script/latest/script.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/script
# title: Script
# version: 20200624-0
# description: Script
key,url,deprecated,valid_from,country_code,label_en,label_it
ARABIC,http://publications.europa.eu/resource/authority/script/ARABIC,false,2012-07-05,ARABIC,Arabic script,
ARMENIAN,http://publications.europa.eu/resource/authority/script/ARMENIAN,false,2012-07-05,ARMENIAN,Armenian script,
BENGALI,http://publications.europa.eu/resource/authority/script/BENGALI,false,2012-07-05,BENGALI,Bengali script,
BRAILLE,http://publications.europa.eu/resource/authority/script/BRAILLE,false,2012-07-05,BRAILLE,Braille script,
CYRILLIC,http://publications.europa.eu/resource/authority/script/CYRILLIC,false,2007-01-01,CYRILLIC,Cyrillic script,
DEVANAGARI,http://publications.europa.eu/resource/authority/script/DEVANAGARI,false,2012-07-05,DEVANAGARI,Devanagari script,
ETHIOPIC,http://publications.europa.eu/resource/authority/script/ETHIOPIC,false,2012-07-05,ETHIOPIC,Ethiopic script,
GEORGIAN,http://publications.europa.eu/resource/authority/script/GEORGIAN,false,2012-07-05,GEORGIAN,Georgian script,
GREEK,http://publications.europa.eu/resource/authority/script/GREEK,false,1981-01-01,GREEK,Greek script,
GUJARATI,http://publications.europa.eu/resource/authority/script/GUJARATI,false,2012-07-05,GUJARATI,Gujarati script,
GURMUKHI,http://publications.europa.eu/resource/authority/script/GURMUKHI,false,2012-07-05,GURMUKHI,Gurmukhi script,
HAN,http://publications.europa.eu/resource/authority/script/HAN,false,2012-07-05,HAN,Han script,
HANGUL,http://publications.europa.eu/resource/authority/script/HANGUL,false,2012-07-05,HANGUL,Hangul script,
HEBREW,http://publications.europa.eu/resource/authority/script/HEBREW,false,2012-07-05,HEBREW,Hebrew script,
HIRAGANA,http://publications.europa.eu/resource/authority/script/HIRAGANA,false,2012-07-05,HIRAGANA,Hiragana script,
KANNADA,http://publications.europa.eu/resource/authority/script/KANNADA,false,2012-07-05,KANNADA,Kannada script,
KATAKANA,http://publications.europa.eu/resource/authority/script/KATAKANA,false,2012-07-05,KATAKANA,Katakana script,
KHMER,http://publications.europa.eu/resource/authority/script/KHMER,false,2012-07-05,KHMER,Khmer script,
LAO,http://publications.europa.eu/resource/authority/script/LAO,false,2012-07-05,LAO,Lao script,
LATIN,http://publications.europa.eu/resource/authority/script/LATIN,false,1952-07-23,LATIN,Latin script,
MALAYALAM,http://publications.europa.eu/resource/authority/script/MALAYALAM,false,2012-07-05,MALAYALAM,Malayalam script,
MONGOLIAN,http://publications.europa.eu/resource/authority/script/MONGOLIAN,false,2012-07-05,MONGOLIAN,Mongolian script,
MYANMAR,http://publications.europa.eu/resource/authority/script/MYANMAR,false,2012-07-05,MYANMAR,Myanmar script,
OP_DATPRO,http://publications.europa.eu/resource/authority/script/OP_DATPRO,,,OP_DATPRO,Provisional data,Dati provvisori
SINHALA,http://publications.europa.eu/resource/authority/script/SINHALA,false,2012-07-05,SINHALA,Sinhala script,
TAGALOG,http://publications.europa.eu/resource/authority/script/TAGALOG,false,2012-07-05,TAGALOG,Tagalog script,
TAMIL,http://publications.europa.eu/resource/authority/script/TAMIL,false,2012-07-05,TAMIL,Tamil script,
TELUGU,http://publications.europa.eu/resource/authority/script/TELUGU,false,2012-07-05,TELUGU,Telugu script,
THAANA,http://publications.europa.eu/resource/authority/script/THAANA,false,2012-07-05,THAANA,Thaana script,
THAI,http://publications.europa.eu/resource/authority/script/THAI,false,2012-07-05,THAI,Thai script,
TIBETAN,http://publications.europa.eu/resource/authority/script/TIBETAN,false,2012-07-05,TIBETAN,Tibetan script,
TIFINAGH,http://publications.europa.eu/resource/authority/script/TIFINAGH,false,2012-07-05,TIFINAGH,Tifinagh script,
