# Serializing assets/vocabularies/sites/latest/sites.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/site
# title: Site
# version: 20210929-0
# description: Site
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
19THSTREET700,http://publications.europa.eu/resource/authority/site/19THSTREET700,false,1997-11-10,19THSTREET700,19th Street 700,,
20AVANDREPROTHIN,http://publications.europa.eu/resource/authority/site/20AVANDREPROTHIN,false,2019-03-30,20AVANDREPROTHIN,Europlaza,,
3RDAVENUE666,http://publications.europa.eu/resource/authority/site/3RDAVENUE666,false,1958-01-01,3RDAVENUE666,3rd avenue 666,,
416HANGANGDAERO,http://publications.europa.eu/resource/authority/site/416HANGANGDAERO,false,2017-12-01,416HANGANGDAERO,416 Hangang-daero,,
4TAAVE2DACALLE,http://publications.europa.eu/resource/authority/site/4TAAVE2DACALLE,false,1958-01-01,4TAAVE2DACALLE,4ta Ave – 2da Calle,,
5TAAVENIDA2007,http://publications.europa.eu/resource/authority/site/5TAAVENIDA2007,false,1958-01-01,5TAAVENIDA2007,5ta avenida 2007,,
5TAAVENIDA5_55,http://publications.europa.eu/resource/authority/site/5TAAVENIDA5_55,false,1958-01-01,5TAAVENIDA5_55,5ta avenida 5-55,,
A73,http://publications.europa.eu/resource/authority/site/A73,true,1958-01-01,A73,,2005-01-01,
ABABUSCENT,http://publications.europa.eu/resource/authority/site/ABABUSCENT,false,1958-01-01,ABABUSCENT,ABA Business Centre,,
ADALSTR6,http://publications.europa.eu/resource/authority/site/ADALSTR6,false,1958-01-01,ADALSTR6,Adalstraeti 6,,
ADG,http://publications.europa.eu/resource/authority/site/ADG,false,1958-01-01,ADG,Alcide De Gasperi building,,
ADHAMOV74,http://publications.europa.eu/resource/authority/site/ADHAMOV74,false,1958-01-01,ADHAMOV74,Adhamov 74,,
ALAMEERAHBASMA,http://publications.europa.eu/resource/authority/site/ALAMEERAHBASMA,false,1958-01-01,ALAMEERAHBASMA,Al-Ameerah Basma,,
ALVA9,http://publications.europa.eu/resource/authority/site/ALVA9,false,1958-01-01,ALVA9,Alva 9,,
AMALIAS8,http://publications.europa.eu/resource/authority/site/AMALIAS8,false,1958-01-01,AMALIAS8,Amalias 8,,
AMERICA404,http://publications.europa.eu/resource/authority/site/AMERICA404,false,1958-01-01,AMERICA404,America 404,,
