# Serializing assets/vocabularies/subject-matter/latest/subject-matter.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/subject-matter
# title: Subject matter
# version: 20210116-0
# description: Subject matter
key,url,deprecated,valid_from,country_code,label_en,label_it
ACCD,http://publications.europa.eu/resource/authority/subject-matter/ACCD,false,1952-07-24,ACCD,Access to documents,Accesso ai documenti
ACCE,http://publications.europa.eu/resource/authority/subject-matter/ACCE,false,1952-07-24,ACCE,Accession to agreement,"Adesione, accordo"
ACCI,http://publications.europa.eu/resource/authority/subject-matter/ACCI,false,1952-07-24,ACCI,Excise duties,Diritti di accisa
ACIE,http://publications.europa.eu/resource/authority/subject-matter/ACIE,false,1952-07-24,ACIE,Steel,Acciaio
ACIN,http://publications.europa.eu/resource/authority/subject-matter/ACIN,false,1952-07-24,ACIN,International agreements,Accordi internazionali
ACP,http://publications.europa.eu/resource/authority/subject-matter/ACP,false,1952-07-24,ACP,"African, Caribbean and Pacific States (ACP)","Stati africani, dei Caraibi e del Pacifico (ACP)"
ACSP,http://publications.europa.eu/resource/authority/subject-matter/ACSP,false,1952-07-24,ACSP,Special steels,Acciai speciali
ACTE,http://publications.europa.eu/resource/authority/subject-matter/ACTE,false,1952-07-24,ACTE,Acts of the institutions,Atti delle istituzioni
ADAP,http://publications.europa.eu/resource/authority/subject-matter/ADAP,false,1952-07-24,ADAP,Adjustment,Adattamento
ADH,http://publications.europa.eu/resource/authority/subject-matter/ADH,false,1952-07-24,ADH,Accession,Adesione
ADMI,http://publications.europa.eu/resource/authority/subject-matter/ADMI,false,1952-07-24,ADMI,Common customs tariff: temporary importation,Tariffa doganale comune: ammissione temporanea
AELE,http://publications.europa.eu/resource/authority/subject-matter/AELE,false,1952-07-24,AELE,European Free Trade Association (EFTA),Associazione europea di libero scambio (EFTA)
AGRI,http://publications.europa.eu/resource/authority/subject-matter/AGRI,false,1952-07-24,AGRI,Agriculture and Fisheries,Agricoltura e Pesca
AIDE,http://publications.europa.eu/resource/authority/subject-matter/AIDE,false,1952-07-24,AIDE,State aids,Aiuti degli Stati
AL-A,http://publications.europa.eu/resource/authority/subject-matter/AL-A,false,1952-07-24,AL-A,Animal feedingstuffs,Alimenti per animali
ALCO,http://publications.europa.eu/resource/authority/subject-matter/ALCO,false,1952-07-24,ALCO,Alcohol,Alcole
ALIM,http://publications.europa.eu/resource/authority/subject-matter/ALIM,false,1952-07-24,ALIM,Food aid,Aiuti alimentari
ANCO,http://publications.europa.eu/resource/authority/subject-matter/ANCO,false,1952-07-24,ANCO,Non-trade agreement,Accordi non commerciali
APPR,http://publications.europa.eu/resource/authority/subject-matter/APPR,false,1952-07-24,APPR,Supply agency,Agenzia di approvvigionamento
ASIL,http://publications.europa.eu/resource/authority/subject-matter/ASIL,false,1952-07-24,ASIL,Asylum policy,Politica in materia di asilo
ASSI,http://publications.europa.eu/resource/authority/subject-matter/ASSI,false,1952-07-24,ASSI,Assistance,Assistenza
ASSO,http://publications.europa.eu/resource/authority/subject-matter/ASSO,false,1952-07-24,ASSO,Association Agreement,Accordo di associazione
AUTH,http://publications.europa.eu/resource/authority/subject-matter/AUTH,false,1952-07-24,AUTH,Authentication,Autenticazione
BANA,http://publications.europa.eu/resource/authority/subject-matter/BANA,false,1952-07-24,BANA,Bananas,Banane
BCE,http://publications.europa.eu/resource/authority/subject-matter/BCE,false,1952-07-24,BCE,European Central Bank (ECB),Banca centrale europea (BCE)
BEI,http://publications.europa.eu/resource/authority/subject-matter/BEI,false,1952-07-24,BEI,European Investment Bank (EIB),Banca europea per gli investimenti (BEI)
BOV,http://publications.europa.eu/resource/authority/subject-matter/BOV,false,1952-07-24,BOV,Beef and veal,Carni bovine
BPAI,http://publications.europa.eu/resource/authority/subject-matter/BPAI,false,1952-07-24,BPAI,Balance of payments,Bilancia dei pagamenti
BREV,http://publications.europa.eu/resource/authority/subject-matter/BREV,false,1952-07-24,BREV,Patents,Brevetti
BT,http://publications.europa.eu/resource/authority/subject-matter/BT,false,1952-07-24,BT,Tropical timber,Legno tropicale
BUDG,http://publications.europa.eu/resource/authority/subject-matter/BUDG,false,1952-07-24,BUDG,Budget,Bilancio
CAC,http://publications.europa.eu/resource/authority/subject-matter/CAC,false,1952-07-24,CAC,Cocoa,Cacao
CAFE,http://publications.europa.eu/resource/authority/subject-matter/CAFE,false,1952-07-24,CAFE,Coffee,Caffè
CAO,http://publications.europa.eu/resource/authority/subject-matter/CAO,false,1952-07-24,CAO,Rubber,Gomma naturale
CDEV,http://publications.europa.eu/resource/authority/subject-matter/CDEV,false,1952-07-24,CDEV,Development cooperation,Cooperazione allo sviluppo
CECA,http://publications.europa.eu/resource/authority/subject-matter/CECA,false,1952-07-24,CECA,ECSC matters,Materie CECA
CECC,http://publications.europa.eu/resource/authority/subject-matter/CECC,false,1952-07-24,CECC,Brussels Convention of 27 September 1968,Convenzione di Bruxelles del 27 settembre 1968
CEDH,http://publications.europa.eu/resource/authority/subject-matter/CEDH,false,1952-07-24,CEDH,European Convention on Human Rights,Convenzione europea dei diritti dell'uomo
CEEA,http://publications.europa.eu/resource/authority/subject-matter/CEEA,false,1952-07-24,CEEA,Euratom matters,Materie Euratom
CERE,http://publications.europa.eu/resource/authority/subject-matter/CERE,false,1952-07-24,CERE,Cereals,Cereali
CHAR,http://publications.europa.eu/resource/authority/subject-matter/CHAR,false,1952-07-24,CHAR,Coal,Carbone
CHDF,http://publications.europa.eu/resource/authority/subject-matter/CHDF,false,1952-07-24,CHDF,Charter of Fundamental Rights,Carta dei diritti fondamentali
CIT,http://publications.europa.eu/resource/authority/subject-matter/CIT,false,1952-07-24,CIT,Citizenship of the Union,Cittadinanza dell'Unione
CLUG,http://publications.europa.eu/resource/authority/subject-matter/CLUG,false,1952-07-24,CLUG,Lugano Convention,Convenzione di Lugano
COAD,http://publications.europa.eu/resource/authority/subject-matter/COAD,false,1952-07-24,COAD,Administrative cooperation,Cooperazione amministrativa
COES,http://publications.europa.eu/resource/authority/subject-matter/COES,false,1952-07-24,COES,"Economic, social and territorial cohesion","Coesione economica, sociale e territoriale"
COHE,http://publications.europa.eu/resource/authority/subject-matter/COHE,false,1952-07-24,COHE,Cohesion Fund,Fondo di coesione
COJC,http://publications.europa.eu/resource/authority/subject-matter/COJC,false,1952-07-24,COJC,Judicial cooperation in civil matters,Cooperazione giudiziaria in materia civile
COJP,http://publications.europa.eu/resource/authority/subject-matter/COJP,false,1952-07-24,COJP,Judicial cooperation in criminal matters,Cooperazione giudiziaria in materia penale
COKE,http://publications.europa.eu/resource/authority/subject-matter/COKE,false,1952-07-24,COKE,Coke,Coke
COMB,http://publications.europa.eu/resource/authority/subject-matter/COMB,false,1952-07-24,COMB,Fuels,Combustibili
COMP,http://publications.europa.eu/resource/authority/subject-matter/COMP,false,1952-07-24,COMP,Accession compensatory amounts,Importi compensativi adesione
