# Serializing assets/vocabularies/treaties/latest/treaties.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/treaty
# title: Treaty
# version: 20210116-0
# description: Treaty
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
ACC_1972,http://publications.europa.eu/resource/authority/treaty/ACC_1972,false,1972-01-22,ACC_1972,"Treaty of Accession of Denmark, Ireland and the United Kingdom (1972)","Trattato di adesione della Danimarca, dell’Irlanda e del Regno Unito (1972)",
ACC_1972_ACT,http://publications.europa.eu/resource/authority/treaty/ACC_1972_ACT,false,1972-01-22,ACC_1972_ACT,Act concerning the conditions of accession and the adjustments to the Treaties,Atto relativo alle condizioni di adesione e agli adattamenti dei trattati,
ACC_1973,http://publications.europa.eu/resource/authority/treaty/ACC_1973,false,1973-01-01,ACC_1973,"Treaty of Accession of Denmark, Ireland and the United Kingdom (Adaptation decision 1973)","Trattato di adesione della Danimarca, dell’Irlanda e del Regno Unito (decisione di adattamento 1973)",
ACC_1979,http://publications.europa.eu/resource/authority/treaty/ACC_1979,false,1979-05-28,ACC_1979,Treaty of Accession of Greece (1979),Trattato di adesione della Grecia (1979),
ACC_1979_ACT,http://publications.europa.eu/resource/authority/treaty/ACC_1979_ACT,false,1979-05-28,ACC_1979_ACT,Act concerning the conditions of accession of Greece and the adjustments to the Treaties,Atto relativo alle condizioni di adesione della Grecia e agli adattamenti dei trattati,
ACC_1985,http://publications.europa.eu/resource/authority/treaty/ACC_1985,false,1985-06-12,ACC_1985,Treaty of Accession of Spain and Portugal (1985),Trattato di adesione della Spagna e del Portogallo (1985),
ACC_1985_ACT,http://publications.europa.eu/resource/authority/treaty/ACC_1985_ACT,false,1985-06-12,ACC_1985_ACT,Act concerning the conditions of accession of Spain and Portugal and the adjustments to the Treaties,Atto relativo alle condizioni di adesione della Spagna e del Portogallo e agli adattamenti dei trattati,
ACC_1994,http://publications.europa.eu/resource/authority/treaty/ACC_1994,false,1994-06-24,ACC_1994,"Treaty of Accession of Austria, Finland and Sweden (1994)","Trattato di adesione dell’Austria, della Finlandia e della Svezia (1994)",
ACC_1994_ACT,http://publications.europa.eu/resource/authority/treaty/ACC_1994_ACT,false,1994-06-24,ACC_1994_ACT,"Act concerning the conditions of accession of Austria, Finland and Sweden and the adjustments to the Treaties","Atto relativo alle condizioni di adesione dell’Austria, della Finlandia e della Svezia e agli adattamenti dei trattati",
ACC_1995,http://publications.europa.eu/resource/authority/treaty/ACC_1995,false,1995-01-01,ACC_1995,"Treaty of Accession of Austria, Finland and Sweden (Adaptation decision 1995)","Trattato di adesione dell’Austria, della Finlandia e della Svezia (decisione di adattamento 1995)",
ACC_2003,http://publications.europa.eu/resource/authority/treaty/ACC_2003,false,2003-04-16,ACC_2003,"Treaty of Accession of the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia (2003)","Trattato di adesione della Repubblica ceca, dell’Estonia, di Cipro, della Lettonia, della Lituania, dell’Ungheria, di Malta, della Polonia, della Slovenia e della Slovacchia (2003)",
ACC_2003_ACT,http://publications.europa.eu/resource/authority/treaty/ACC_2003_ACT,false,2003-04-16,ACC_2003_ACT,"Act concerning the conditions of accession of the Czech Republic, Estonia, Cyprus, Latvia, Lithuania, Hungary, Malta, Poland, Slovenia and Slovakia and the adjustments to the Treaties","Atto relativo alle condizioni di adesione della Repubblica ceca, dell’Estonia, di Cipro, della Lettonia, della Lituania, dell’Ungheria, di Malta, della Polonia, della Slovenia e della Slovacchia e agli adattamenti dei trattati",
