# Serializing assets/vocabularies/usecontexts/latest/usecontexts.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/use-context
# title: Use context
# version: 20210929-0
# description: Use context
key,url,deprecated,valid_from,country_code,label_en,valid_until,label_it
AKN4EU,http://publications.europa.eu/resource/authority/use-context/AKN4EU,false,2020-03-18,AKN4EU,AKN4EU,,
CELLAR,http://publications.europa.eu/resource/authority/use-context/CELLAR,false,2009-12-01,CELLAR,CELLAR,,
CJ,http://publications.europa.eu/resource/authority/use-context/CJ,false,2015-06-10,CJ,CJ,,
CODIF_DATA,http://publications.europa.eu/resource/authority/use-context/CODIF_DATA,false,2019-06-19,CODIF_DATA,Codification Data,,
COMREF,http://publications.europa.eu/resource/authority/use-context/COMREF,false,2009-12-01,COMREF,COMREF,,
COM_NEWS,http://publications.europa.eu/resource/authority/use-context/COM_NEWS,false,2020-06-24,COM_NEWS,COM_NEWS,,
COM_WEB,http://publications.europa.eu/resource/authority/use-context/COM_WEB,false,2020-02-20,COM_WEB,COM_WEB,,
COUNTRY,http://publications.europa.eu/resource/authority/use-context/COUNTRY,false,2020-12-16,COUNTRY,Country,,
DCAT_AP,http://publications.europa.eu/resource/authority/use-context/DCAT_AP,false,2009-12-01,DCAT_AP,DCAT_AP,,
DEMED,http://publications.europa.eu/resource/authority/use-context/DEMED,false,2009-12-01,DEMED,DEMED,,
DEMPUB,http://publications.europa.eu/resource/authority/use-context/DEMPUB,false,2018-09-26,DEMPUB,Publication request,,
DG_NEAR,http://publications.europa.eu/resource/authority/use-context/DG_NEAR,false,2020-02-20,DG_NEAR,DG_NEAR,,
EFORMS,http://publications.europa.eu/resource/authority/use-context/EFORMS,false,2019-02-20,EFORMS,eForms,,
ELI,http://publications.europa.eu/resource/authority/use-context/ELI,false,2019-02-20,ELI,ELI,,
EP,http://publications.europa.eu/resource/authority/use-context/EP,false,2021-09-29,EP,EP,,
ESPD,http://publications.europa.eu/resource/authority/use-context/ESPD,false,2020-02-20,ESPD,ESPD,,
EUBOOKSHOP,http://publications.europa.eu/resource/authority/use-context/EUBOOKSHOP,false,2009-12-01,EUBOOKSHOP,EU Bookshop,,
EUDOR,http://publications.europa.eu/resource/authority/use-context/EUDOR,false,2009-12-01,EUDOR,EUDOR,,
EURLEX,http://publications.europa.eu/resource/authority/use-context/EURLEX,false,2009-12-01,EURLEX,EurLex,,
EU_EFTA_UK,http://publications.europa.eu/resource/authority/use-context/EU_EFTA_UK,false,2020-12-16,EU_EFTA_UK,EU_EFTA_UK,,
EU_OMR_OCT,http://publications.europa.eu/resource/authority/use-context/EU_OMR_OCT,false,2018-03-21,EU_OMR_OCT,EU_OMR_OCT,,
EU_REC,http://publications.europa.eu/resource/authority/use-context/EU_REC,false,2016-05-25,EU_REC,EU_REC,,
FORMEX,http://publications.europa.eu/resource/authority/use-context/FORMEX,false,2015-06-10,FORMEX,FORMEX,,
ID_ENTITY,http://publications.europa.eu/resource/authority/use-context/ID_ENTITY,false,2009-12-01,ID_ENTITY,Organisational entity ID,,
ID_INSTITUTION,http://publications.europa.eu/resource/authority/use-context/ID_INSTITUTION,true,2009-12-01,ID_INSTITUTION,WHOISWHO_institution_id,2018-04-05,
IMMC,http://publications.europa.eu/resource/authority/use-context/IMMC,false,2009-12-01,IMMC,IMMC,,
IMMC_COM,http://publications.europa.eu/resource/authority/use-context/IMMC_COM,false,2019-02-20,IMMC_COM,IMMC_COM,,
IMMC_CONSIL,http://publications.europa.eu/resource/authority/use-context/IMMC_CONSIL,false,2019-02-20,IMMC_CONSIL,IMMC_CONSIL,,
IMMC_COR,http://publications.europa.eu/resource/authority/use-context/IMMC_COR,false,2019-02-20,IMMC_COR,IMMC_COR,,
IMMC_CURIA,http://publications.europa.eu/resource/authority/use-context/IMMC_CURIA,false,2019-02-20,IMMC_CURIA,IMMC_CURIA,,
IMMC_ECA,http://publications.europa.eu/resource/authority/use-context/IMMC_ECA,false,2019-02-20,IMMC_ECA,IMMC_ECA,,
IMMC_EESC,http://publications.europa.eu/resource/authority/use-context/IMMC_EESC,false,2019-02-20,IMMC_EESC,IMMC_EESC,,
IMMC_EP,http://publications.europa.eu/resource/authority/use-context/IMMC_EP,false,2019-02-20,IMMC_EP,IMMC_EP,,
INSTITUTION,http://publications.europa.eu/resource/authority/use-context/INSTITUTION,false,2018-04-06,INSTITUTION,Institution URI,,
MNEMONIC,http://publications.europa.eu/resource/authority/use-context/MNEMONIC,false,2009-12-01,MNEMONIC,Organisational entity mnemonic code,,
NOTICE_VIEWER,http://publications.europa.eu/resource/authority/use-context/NOTICE_VIEWER,false,2019-06-19,NOTICE_VIEWER,Notice Viewer,,
ODP,http://publications.europa.eu/resource/authority/use-context/ODP,false,2009-12-01,ODP,ODP,,
OJ,http://publications.europa.eu/resource/authority/use-context/OJ,false,2009-12-01,OJ,OJ,,
OJEEP,http://publications.europa.eu/resource/authority/use-context/OJEEP,false,2012-12-12,OJEEP,OJEEP,,
PLANPUBLI,http://publications.europa.eu/resource/authority/use-context/PLANPUBLI,false,2009-12-01,PLANPUBLI,PlanPubli,,
PUB,http://publications.europa.eu/resource/authority/use-context/PUB,false,2009-12-01,PUB,PUB,,
PUB_CORP,http://publications.europa.eu/resource/authority/use-context/PUB_CORP,false,2012-07-05,PUB_CORP,PUB_CORP,,
SIGN_LANGUAGE,http://publications.europa.eu/resource/authority/use-context/SIGN_LANGUAGE,false,2020-06-24,SIGN_LANGUAGE,Sign language,,
TED,http://publications.europa.eu/resource/authority/use-context/TED,false,2009-12-01,TED,TED,,
TED_SCHEMA,http://publications.europa.eu/resource/authority/use-context/TED_SCHEMA,false,2018-09-26,TED_SCHEMA,TED Schema,,
WHOISWHO,http://publications.europa.eu/resource/authority/use-context/WHOISWHO,false,2009-12-01,WHOISWHO,WHOISWHO,,
OP_DATPRO,http://publications.europa.eu/resource/authority/usecontexts/OP_DATPRO,false,1952-07-23,OP_DATPRO,Provisional data,,Dati provvisori
