# Serializing assets/vocabularies/website-identifier/latest/website-identifier.ttl
# @context: {"@vocab": "http://publications.europa.eu/ontology/authority/", "dct": "http://purl.org/dc/elements/1.1/", "skos": "http://www.w3.org/2004/02/skos/core#", "owl": "http://www.w3.org/2002/07/owl#", "key": {"@id": "op-code"}, "valid_from": "start.use", "valid_until": "end.use", "url": "@id", "op_code": {"@id": "op-code"}, "country_code": {"@id": "dct:identifier"}, "version_info": "owl:versionInfo", "deprecated": {}, "label_en": {"@id": "skos:prefLabel", "@language": "en"}, "label_it": {"@id": "skos:prefLabel", "@language": "it"}}
# url: http://publications.europa.eu/resource/authority/website-identifier
# title: Website identifier
# version: 20210616-0
# description: Website identifier
key,url,deprecated,valid_from,country_code,label_en,label_it,valid_until
ACER_WS,http://publications.europa.eu/resource/authority/website-identifier/ACER_WS,false,2010-10-01,ACER_WS,Agency for the Cooperation of Energy Regulators,Agenzia per la cooperazione fra i regolatori nazionali dell’energia,
BBI_WS,http://publications.europa.eu/resource/authority/website-identifier/BBI_WS,false,2014-05-26,BBI_WS,Bio-based Industries Joint Undertaking,Impresa comune Bioindustrie,
BEREC_WS,http://publications.europa.eu/resource/authority/website-identifier/BEREC_WS,false,2010-01-07,BEREC_WS,Body of European Regulators for Electronic Communications,Organismo dei regolatori europei delle comunicazioni elettroniche,
CDT_WS,http://publications.europa.eu/resource/authority/website-identifier/CDT_WS,false,2010-10-01,CDT_WS,Translation Centre,Centro di traduzione,
CEDEFOP_WS,http://publications.europa.eu/resource/authority/website-identifier/CEDEFOP_WS,false,2010-10-01,CEDEFOP_WS,European Centre for the Development of Vocational Training,Centro europeo per lo sviluppo della formazione professionale,
CEPOL_WS,http://publications.europa.eu/resource/authority/website-identifier/CEPOL_WS,false,2010-10-01,CEPOL_WS,European Union Agency for Law Enforcement Training,Agenzia dell’Unione europea per la formazione delle autorità di contrasto,
CFCA_WS,http://publications.europa.eu/resource/authority/website-identifier/CFCA_WS,false,2010-10-01,CFCA_WS,European Fisheries Control Agency,Agenzia europea di controllo della pesca,
CHAFEA_WS,http://publications.europa.eu/resource/authority/website-identifier/CHAFEA_WS,false,2014-12-17,CHAFEA_WS,"Consumers, Health, Agriculture and Food Executive Agency","Agenzia esecutiva per i consumatori, la salute, l’agricoltura e la sicurezza alimentare",
CITIZENS_WS,http://publications.europa.eu/resource/authority/website-identifier/CITIZENS_WS,false,2014-12-01,CITIZENS_WS,Citizens' Dialogues,Dialoghi con i cittadini,
COM_WS,http://publications.europa.eu/resource/authority/website-identifier/COM_WS,false,1997-01-01,COM_WS,European Commission,Commissione europea,
CONSIL_WS,http://publications.europa.eu/resource/authority/website-identifier/CONSIL_WS,false,1997-01-01,CONSIL_WS,Council of the European Union,Consiglio dell’Unione europea,
CORDIS_WS,http://publications.europa.eu/resource/authority/website-identifier/CORDIS_WS,false,2012-02-01,CORDIS_WS,Community Research and Development Information Service,Servizio comunitario di informazione in materia di ricerca e sviluppo,
COR_WS,http://publications.europa.eu/resource/authority/website-identifier/COR_WS,false,1997-01-01,COR_WS,European Committee of the Regions,Comitato europeo delle regioni,
CPVO_WS,http://publications.europa.eu/resource/authority/website-identifier/CPVO_WS,false,2010-10-01,CPVO_WS,Community Plant Variety Office,Ufficio comunitario delle varietà vegetali,
CURIA_WS,http://publications.europa.eu/resource/authority/website-identifier/CURIA_WS,false,1997-01-01,CURIA_WS,Court of Justice of the European Union,Corte di giustizia dell’Unione europea,
EACEA_WS,http://publications.europa.eu/resource/authority/website-identifier/EACEA_WS,false,2010-10-01,EACEA_WS,"Education, Audiovisual and Culture Executive Agency","Agenzia esecutiva per l’istruzione, gli audiovisivi e la cultura",
EASA_WS,http://publications.europa.eu/resource/authority/website-identifier/EASA_WS,false,2010-10-01,EASA_WS,European Aviation Safety Agency,Agenzia europea per la sicurezza aerea,
EASO_WS,http://publications.europa.eu/resource/authority/website-identifier/EASO_WS,false,2010-10-01,EASO_WS,European Asylum Support Office,Ufficio europeo di sostegno per l’asilo,
EBA_WS,http://publications.europa.eu/resource/authority/website-identifier/EBA_WS,false,2011-01-01,EBA_WS,European Banking Authority,Autorità bancaria europea,
ECA_WS,http://publications.europa.eu/resource/authority/website-identifier/ECA_WS,false,1997-01-01,ECA_WS,European Court of Auditors,Corte dei conti europea,
ECB_SUPERVISION_WS,http://publications.europa.eu/resource/authority/website-identifier/ECB_SUPERVISION_WS,false,2014-12-17,ECB_SUPERVISION_WS,Banking Supervision,Vigilanza bancaria,
